Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,10.4,10.64,10.29,10.37,8456300,9.93022
2012-04-09,10.3,10.4,10.15,10.29,5835400,9.853613000000001
2012-04-10,10.26,10.36,9.78,9.81,9603000,9.39397
2012-04-11,9.94,10.08,9.84,9.91,6920800,9.489728
2012-04-12,9.98,10.49,9.98,10.26,10834900,9.824886
2012-04-13,10.21,10.26,10.08,10.13,7007000,9.700399
2012-04-16,10.15,10.46,10.08,10.25,15157900,9.81531
2012-04-17,10.35,10.48,10.19,10.44,12285200,9.997251
2012-04-18,10.42,10.61,10.39,10.53,10180200,10.083435
2012-04-19,10.56,11.03,10.38,10.82,22660200,10.361136
2012-04-20,10.85,10.94,10.56,10.75,12197600,10.294105
2012-04-23,10.53,10.62,10.3,10.39,9612100,9.949373
2012-04-24,10.4,10.62,10.39,10.48,9782600,10.035555
2012-04-25,10.46,10.72,10.25,10.48,12228400,10.035555
2012-04-26,10.52,10.64,10.25,10.4,8304000,9.958948
2012-04-27,10.39,10.85,10.3,10.82,10975200,10.361136
2012-04-30,10.77,11.12,10.72,10.96,13160200,10.495199000000001
2012-05-01,11.14,11.34,10.98,11.05,13729900,10.581383
2012-05-02,10.97,11.04,10.76,10.87,7707300,10.409016000000001
2012-05-03,10.81,11.13,10.81,10.96,8483900,10.495199000000001
2012-05-04,11.05,11.2,10.9,11.0,15183900,10.533503
2012-05-07,11.0,11.25,10.95,11.17,11680500,10.696294
2012-05-08,11.1,11.23,10.99,11.17,11789400,10.696294
2012-05-09,11.07,11.09,10.84,10.91,11634200,10.44732
2012-05-10,11.0,11.15,10.95,11.03,8887400,10.56223
2012-05-11,10.97,11.42,10.95,11.37,7838200,10.887812
2012-05-14,11.38,11.58,11.31,11.43,15907800,10.945267
2012-05-15,11.4,11.45,11.1,11.17,9694200,10.696294
2012-05-16,11.23,11.51,11.23,11.39,9472000,10.906964
2012-05-17,11.34,11.35,10.32,10.41,20742400,9.968524
2012-05-18,10.43,10.44,10.03,10.14,18994600,9.709975
2012-05-21,10.15,10.62,10.15,10.58,14203200,10.131314999999999
2012-05-22,10.68,10.8,10.47,10.54,12860300,10.093011
2012-05-23,10.52,10.75,10.25,10.74,9144000,10.284529
2012-05-24,10.9,11.54,10.88,11.27,19379500,10.792053
2012-05-25,11.31,11.55,11.22,11.37,11596300,10.887812
2012-05-29,11.49,11.83,11.37,11.8,18680200,11.299576
2012-05-30,11.7,12.0,11.63,11.75,13803100,11.251696
2012-05-31,11.85,12.25,11.61,12.1,20830500,11.586853999999999
2012-06-01,12.02,12.04,11.43,11.51,17554100,11.021875
2012-06-04,11.37,11.38,10.11,10.18,29678300,9.748277999999999
2012-06-05,10.35,10.63,10.34,10.58,11215400,10.131314999999999
2012-06-06,10.7,10.79,10.45,10.61,14791800,10.160042
2012-06-07,10.68,10.87,10.28,10.28,15796300,9.844037
2012-06-08,10.06,10.51,9.89,10.38,20033400,9.939797
2012-06-11,10.58,10.59,10.15,10.17,11489900,9.738702
2012-06-12,10.24,10.44,10.0,10.04,12803400,9.614215
2012-06-13,10.16,10.55,10.0,10.29,16726400,9.853613000000001
2012-06-14,10.3,10.7,10.26,10.45,8616600,10.006828
2012-06-15,10.37,10.47,10.07,10.26,8161600,9.824886
2012-06-18,10.25,10.63,10.16,10.63,9463800,10.179194
2012-06-19,10.6,10.96,10.58,10.91,8012700,10.44732
2012-06-20,10.84,11.21,10.72,11.21,13200100,10.734597
2012-06-21,11.21,11.33,10.98,11.23,17544300,10.753748
2012-06-22,11.18,11.32,10.97,11.04,8435000,10.571807000000002
2012-06-25,11.0,11.04,10.43,10.52,12840500,10.07386
2012-06-26,10.47,11.23,10.41,11.14,21807000,10.667566
2012-06-27,11.1,11.38,10.83,11.07,12157400,10.600534
2012-06-28,11.1,11.18,10.72,11.16,9647500,10.686717
2012-06-29,11.21,11.27,10.92,10.95,11398200,10.485623
2012-07-02,11.11,11.25,10.95,11.12,7967100,10.648414
2012-07-03,11.05,11.05,10.7,10.76,6082600,10.303681
2012-07-05,10.71,10.79,10.54,10.63,8504000,10.179194
2012-07-06,10.63,11.06,10.57,11.0,9499300,10.533503
2012-07-09,11.07,11.12,10.77,10.91,7082200,10.44732
2012-07-10,10.9,10.96,10.5,10.72,13815500,10.265378
2012-07-11,10.74,11.15,10.72,11.09,11355600,10.619686
2012-07-12,10.73,10.99,10.68,10.75,9789900,10.294105
2012-07-13,10.76,10.88,10.7,10.82,5318900,10.361136
2012-07-16,10.86,11.11,10.75,10.97,7189800,10.504775
2012-07-17,11.1,11.1,10.72,10.8,10406800,10.341985000000001
2012-07-18,10.82,10.86,10.17,10.23,19709300,9.796157000000001
2012-07-19,10.39,10.48,9.94,10.0,15720100,9.575911999999999
2012-07-20,9.98,10.17,9.85,9.94,12053500,9.518456
2012-07-23,9.84,9.86,9.55,9.66,12583800,9.250331
2012-07-24,9.72,9.8,9.21,9.33,14537700,8.934325999999999
2012-07-25,9.63,9.83,9.08,9.47,24152400,9.068389
2012-07-26,9.58,9.58,9.2,9.41,19560100,9.010933
2012-07-27,9.47,9.55,9.28,9.42,14923500,9.020508999999999
2012-07-30,9.4,9.57,9.22,9.47,17242600,9.068389
2012-07-31,9.47,9.77,9.36,9.65,18124100,9.240753999999999
2012-08-01,9.49,9.62,9.4,9.48,15043400,9.077964
2012-08-02,9.38,9.47,9.14,9.23,14795700,8.838566
2012-08-03,9.3,9.4,9.17,9.29,7073700,8.896022
2012-08-06,9.31,9.43,9.26,9.37,8104000,8.972629
2012-08-07,9.35,9.44,9.22,9.32,12499800,8.924749
2012-08-08,9.37,9.56,9.25,9.39,12932000,8.991781
2012-08-09,9.35,9.38,9.04,9.07,13486900,8.685352
2012-08-10,9.11,9.19,8.97,9.06,7633300,8.675775999999999
2012-08-13,9.06,9.28,8.99,9.26,8650300,8.867295
2012-08-14,9.26,9.47,9.21,9.28,10919600,8.886446000000001
2012-08-15,9.22,9.3,9.17,9.26,7577200,8.867295
2012-08-16,9.27,9.33,9.02,9.03,9995300,8.647048
2012-08-17,9.11,9.18,9.04,9.13,12886100,8.742808
2012-08-20,9.1,9.5,9.1,9.46,14686500,9.058813
2012-08-21,9.53,9.93,9.48,9.71,24099900,9.298210000000001
2012-08-22,9.64,9.7,9.39,9.53,10371400,9.125844
2012-08-23,9.5,9.57,9.07,9.15,11852000,8.761959
2012-08-24,9.2,9.22,9.09,9.11,7277200,8.723655
2012-08-27,9.14,9.21,9.05,9.06,6968300,8.675775999999999
2012-08-28,9.03,9.04,8.67,8.7,20934300,8.331043
2012-08-29,8.73,8.75,8.46,8.61,15102100,8.244860000000001
2012-08-30,8.63,8.65,8.51,8.55,13066400,8.187405
2012-08-31,8.75,8.83,8.65,8.65,11402000,8.283163
2012-09-04,8.66,8.7,8.42,8.56,12021100,8.196981
2012-09-05,8.62,8.97,8.6,8.88,12740500,8.50341
2012-09-06,8.94,9.31,8.92,9.2,14112100,8.809839
2012-09-07,9.26,9.49,9.2,9.28,13606400,8.886446000000001
2012-09-10,9.28,9.7,9.26,9.38,10470700,8.982205
2012-09-11,9.3,9.47,9.21,9.28,6210500,8.886446000000001
2012-09-12,9.28,9.55,9.27,9.5,10244900,9.097116
2012-09-13,9.48,9.52,9.31,9.45,7533300,9.049236
2012-09-14,9.43,9.45,9.23,9.27,9551000,8.876871000000001
2012-09-17,9.25,9.32,9.04,9.23,11245300,8.838566
2012-09-18,9.16,9.28,8.94,8.96,12421300,8.580017
2012-09-19,9.12,9.42,9.08,9.37,19155500,8.972629
2012-09-20,9.28,9.33,9.12,9.15,7380000,8.761959
2012-09-21,9.18,9.25,9.04,9.07,10426200,8.685352
2012-09-24,9.02,9.25,8.89,9.13,8190600,8.742808
2012-09-25,9.13,9.2,9.0,9.02,13833700,8.637473
2012-09-26,8.96,9.21,8.95,9.16,5420900,8.771535
2012-09-27,9.14,9.3,9.04,9.23,8492400,8.838566
2012-09-28,9.14,9.2,9.04,9.16,7016300,8.771535
2012-10-01,9.12,9.66,9.11,9.47,15083700,9.068389
2012-10-02,9.4,9.8,9.35,9.77,15425300,9.355666000000001
2012-10-03,9.87,10.27,9.75,10.16,17180400,9.729125999999999
2012-10-04,10.21,10.21,9.9,10.14,11015700,9.709975
2012-10-05,10.25,10.48,10.13,10.28,7120200,9.844037
2012-10-08,10.28,10.49,10.09,10.13,7033400,9.700399
2012-10-09,10.14,10.19,9.84,9.89,9063400,9.470577
2012-10-10,9.9,9.97,9.75,9.84,8140100,9.422697
2012-10-11,9.88,9.9,9.72,9.75,7802900,9.336514
2012-10-12,9.84,10.11,9.77,10.02,11387000,9.595064
2012-10-15,10.08,10.2,10.01,10.11,7159900,9.681246
2012-10-16,10.09,10.15,9.93,9.99,11032000,9.566336
2012-10-17,9.97,10.3,9.93,10.19,9621300,9.757854
2012-10-18,10.2,10.4,10.2,10.21,8861600,9.777006
2012-10-19,10.18,10.21,9.95,10.0,7182800,9.575911999999999
2012-10-22,10.0,10.2,9.9,10.14,7317200,9.709975
2012-10-23,10.14,10.25,9.91,10.15,11526200,9.71955
2012-10-24,10.08,10.28,9.81,10.04,14129700,9.614215
2012-10-25,10.05,10.1,9.55,9.64,11605300,9.231179
2012-10-26,9.7,9.77,9.49,9.64,9458300,9.231179
2012-10-31,9.53,9.82,9.5,9.63,8323100,9.221603
2012-11-01,9.64,9.78,9.63,9.7,6025800,9.288634
2012-11-02,9.77,9.79,9.54,9.7,7063300,9.288634
2012-11-05,9.64,9.83,9.6,9.77,6273400,9.355666000000001
2012-11-06,9.76,10.04,9.71,10.04,6963400,9.614215
2012-11-07,9.98,10.02,9.62,9.94,11258200,9.518456
2012-11-08,9.87,10.3,9.83,10.29,11436300,9.853613000000001
2012-11-09,10.19,10.49,10.09,10.19,10308400,9.757854
2012-11-12,10.23,10.44,10.07,10.3,7384800,9.863189
2012-11-13,10.19,10.5,10.18,10.21,8238400,9.777006
2012-11-14,10.23,10.42,9.48,9.56,16717900,9.154572
2012-11-15,9.55,9.81,9.46,9.49,13064400,9.087539999999999
2012-11-16,9.49,9.54,9.21,9.33,9599900,8.934325999999999
2012-11-19,9.46,9.56,9.32,9.55,6730300,9.144996
2012-11-20,9.6,9.86,9.41,9.68,6981800,9.269483000000001
2012-11-21,9.69,9.73,9.49,9.72,9163100,9.307786
2012-11-23,9.74,9.86,9.7,9.84,2652600,9.422697
2012-11-26,9.78,9.94,9.57,9.8,6888900,9.384394
2012-11-27,9.76,9.97,9.74,9.82,7973400,9.403545
2012-11-28,9.78,10.15,9.75,10.0,11320000,9.575911999999999
2012-11-29,10.07,10.12,9.86,10.05,10219500,9.623792
2012-11-30,9.98,10.05,9.85,10.0,9740500,9.575911999999999
2012-12-03,9.99,10.01,9.6,9.62,9804900,9.212027
2012-12-04,9.86,9.96,9.5,9.73,9928900,9.317362
2012-12-05,9.81,9.82,9.56,9.71,9922200,9.298210000000001
2012-12-06,9.76,10.03,9.73,10.02,11550100,9.595064
2012-12-07,9.95,10.24,9.88,10.11,10243300,9.681246
2012-12-10,10.11,10.2,9.95,10.14,8756700,9.709975
2012-12-11,10.26,10.94,10.19,10.66,28373100,10.207922
2012-12-12,10.62,11.1,10.47,10.72,19529800,10.265378
2012-12-13,10.87,11.3,10.8,11.29,20240700,10.811204
2012-12-14,11.27,11.43,11.12,11.22,12007100,10.744173
2012-12-17,11.48,11.75,11.16,11.23,19546900,10.753748
2012-12-18,11.26,11.61,11.2,11.53,14538500,11.041025999999999
2012-12-19,11.54,11.94,11.49,11.83,25298300,11.328304
2012-12-20,11.81,11.98,11.65,11.94,13366300,11.433638
2012-12-21,11.74,11.91,11.68,11.86,12579200,11.357031
2012-12-24,11.8,11.97,11.65,11.78,4118800,11.280424
2012-12-26,11.68,11.89,11.63,11.65,5844700,11.155937
2012-12-27,11.61,11.76,11.43,11.57,6388400,11.07933
2012-12-28,11.54,11.68,11.46,11.5,6935700,11.012299
2012-12-31,11.57,12.05,11.55,11.87,11658400,11.366607
2013-01-02,12.07,12.28,11.97,12.23,10628500,11.71134
2013-01-03,12.14,12.61,12.12,12.58,16272400,12.046497
2013-01-04,12.56,13.08,12.55,12.98,17125600,12.429533000000001
2013-01-07,13.14,13.38,12.89,12.99,23137100,12.439109
2013-01-08,13.05,13.26,12.87,12.98,16685700,12.429533000000001
2013-01-09,13.0,13.16,12.89,13.11,10251700,12.55402
2013-01-10,13.45,13.65,13.17,13.3,27721200,12.735963
2013-01-11,13.33,13.41,13.09,13.35,14934900,12.783843
2013-01-14,13.3,13.49,13.17,13.44,7996300,12.870025
2013-01-15,13.25,13.74,13.21,13.63,17041000,13.051967999999999
2013-01-16,13.55,14.11,13.52,13.92,20083000,13.329669
2013-01-17,13.95,14.0,13.72,13.83,9910600,13.243485999999999
2013-01-18,13.85,13.91,13.6,13.61,11337100,13.032816
2013-01-22,13.64,14.15,13.46,14.01,16829300,13.415853
2013-01-23,14.05,14.15,13.74,13.78,20839900,13.195606
2013-01-24,13.83,14.17,13.71,13.93,14578900,13.339245000000002
2013-01-25,13.94,14.18,13.82,14.17,10746000,13.569067
2013-01-28,14.16,14.2,13.9,13.94,9593800,13.348821
2013-01-29,13.89,13.93,13.61,13.68,16123200,13.099848
2013-01-30,13.72,13.92,13.68,13.84,8168500,13.253062
2013-01-31,13.77,13.92,13.72,13.89,6967400,13.300942000000001
2013-02-01,13.97,14.09,13.74,13.82,10069500,13.23391
2013-02-04,13.64,13.95,13.44,13.86,10041800,13.272213
2013-02-05,13.83,14.1,13.8,13.93,19010700,13.339245000000002
2013-02-06,13.91,14.49,13.91,14.47,16494800,13.856345000000001
2013-02-07,14.49,14.89,14.46,14.86,16685200,14.229804999999999
2013-02-08,14.77,14.88,14.52,14.62,9197200,13.999982999999999
2013-02-11,14.66,14.9,14.61,14.69,7583800,14.067014000000002
2013-02-12,14.64,14.79,14.46,14.5,7146700,13.885072000000001
2013-02-13,14.57,14.8,14.5,14.78,7230400,14.153197
2013-02-14,14.6,14.68,14.02,14.24,17917800,13.636098
2013-02-15,14.37,14.56,14.31,14.45,14248600,13.837192000000002
2013-02-19,14.4,14.62,14.2,14.3,12245700,13.693554
2013-02-20,14.29,14.32,13.78,13.82,13822800,13.23391
2013-02-21,13.96,13.99,13.16,13.56,21229600,12.984937
2013-02-22,13.56,13.77,13.39,13.75,8462800,13.166879000000002
2013-02-25,13.84,14.34,13.82,14.02,16933300,13.425429000000001
2013-02-26,13.94,14.0,13.6,13.9,11452000,13.310517
2013-02-27,13.89,14.35,13.85,14.27,7947600,13.664826999999999
2013-02-28,14.34,14.42,14.23,14.27,7523500,13.664826999999999
2013-03-01,14.26,15.08,14.26,14.82,16031300,14.191501
2013-03-04,14.75,15.89,14.61,15.65,25397700,14.986301999999998
2013-03-05,15.71,15.93,15.67,15.86,12270800,15.187396
2013-03-06,16.0,16.07,15.47,15.67,12824800,15.005454
2013-03-07,15.7,15.93,15.59,15.9,6443600,15.225698999999999
2013-03-08,16.139999,16.4,15.81,16.24,18025800,15.551279999999998
2013-03-11,16.049999,16.42,15.77,16.23,11617300,15.541704000000001
2013-03-12,16.200001,16.299999,15.97,16.030001000000002,9592100,15.350187
2013-03-13,15.95,16.41,15.95,16.360001,11475800,15.666192
2013-03-14,16.34,16.48,16.17,16.280001000000002,9249800,15.589585000000001
2013-03-15,16.15,16.23,15.82,16.0,15200400,15.321458999999999
2013-03-18,15.83,16.379998999999998,15.76,16.27,8001000,15.580009
2013-03-19,16.42,16.73,16.299999,16.540001,9146200,15.838559
2013-03-20,16.709999,17.09,16.58,17.07,13076400,16.346080999999998
2013-03-21,16.940001000000002,17.25,16.83,16.84,10723800,16.125836
2013-03-22,17.030001000000002,17.040001,16.59,16.709999,10148700,16.001348
2013-03-25,16.780001000000002,16.879998999999998,16.219998999999998,16.309998999999998,11366000,15.618312
2013-03-26,16.5,16.690001000000002,16.290001,16.549999,10003800,15.848132999999999
2013-03-27,16.370001000000002,16.76,16.290001,16.59,7921800,15.886438
2013-03-28,16.690001000000002,16.940001000000002,16.469998999999998,16.51,10119400,15.809830999999999
2013-04-01,16.43,16.940001000000002,16.25,16.25,10897400,15.560857
2013-04-02,15.4,15.58,14.77,14.94,41032200,14.306412
2013-04-03,14.98,15.14,14.26,14.56,26394900,13.942528
2013-04-04,14.42,14.85,14.41,14.75,16159800,14.12447
2013-04-05,14.04,14.62,13.94,14.39,38513400,13.779736999999999
2013-04-08,14.6,14.98,14.4,14.93,12334100,14.296837
2013-04-09,15.17,15.24,14.75,14.8,14994800,14.17235
2013-04-10,14.92,15.32,14.87,15.25,11900400,14.603264999999999
2013-04-11,15.25,15.74,15.25,15.55,11817700,14.890543
2013-04-12,15.49,15.91,15.39,15.48,8501600,14.823510999999998
2013-04-15,15.58,15.69,14.71,14.91,15407200,14.277683999999999
2013-04-16,15.4,15.89,15.27,15.87,11532500,15.196972
2013-04-17,15.69,15.7,15.2,15.53,22305600,14.871391000000001
2013-04-18,15.53,15.53,15.07,15.15,14419200,14.507506
2013-04-19,15.22,15.47,14.85,15.26,9027300,14.612842
2013-04-22,15.33,15.7,14.91,15.14,17120100,14.497931
2013-04-23,14.93,16.75,14.84,16.719998999999998,28073700,16.010924
2013-04-24,16.620001000000002,16.75,16.32,16.469998999999998,11143400,15.771526000000001
2013-04-25,16.51,16.9,16.280001000000002,16.290001,20782200,15.599160999999999
2013-04-26,16.35,16.870001000000002,16.18,16.809998999999998,11495100,16.097107
2013-04-29,16.74,17.1,16.68,16.950001,10950900,16.231171
2013-04-30,16.93,17.33,16.75,17.139999,12023700,16.413111999999998
2013-05-01,17.26,17.549999,16.68,16.84,13514600,16.125836
2013-05-02,16.870001000000002,17.540001,16.690001000000002,17.49,16788000,16.748269
2013-05-03,17.719998999999998,18.309998999999998,17.68,17.959999,17308400,17.198337
2013-05-06,17.99,18.24,17.77,18.059998999999998,7968700,17.294096
2013-05-07,18.059998999999998,18.15,17.9,18.08,7301400,17.313248
2013-05-08,18.25,18.84,18.25,18.66,26633800,17.868651
