Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,10.63,10.75,10.58,10.66,1957300,10.66
2012-04-09,10.42,10.47,10.19,10.38,3091100,10.38
2012-04-10,10.31,10.47,10.02,10.05,4927600,10.05
2012-04-11,10.25,10.45,10.2,10.32,3841500,10.32
2012-04-12,10.36,10.69,10.31,10.66,2906900,10.66
2012-04-13,10.62,10.64,9.98,10.06,10009500,10.06
2012-04-16,10.24,10.35,9.72,9.91,9208300,9.91
2012-04-17,10.03,10.23,9.98,10.11,2691800,10.11
2012-04-18,10.05,10.07,9.87,9.97,3791600,9.97
2012-04-19,10.02,10.14,9.77,9.88,6689600,9.88
2012-04-20,10.4,10.65,10.22,10.48,17651000,10.48
2012-04-23,10.36,10.4,10.21,10.27,8580000,10.27
2012-04-24,10.27,10.48,10.25,10.41,5857100,10.41
2012-04-25,10.51,10.7,10.45,10.67,4620000,10.67
2012-04-26,10.66,11.0,10.6,10.67,5889400,10.67
2012-04-27,10.73,10.76,10.52,10.73,2679600,10.73
2012-04-30,10.72,10.72,10.53,10.63,1738600,10.63
2012-05-01,10.63,10.93,10.56,10.73,4767800,10.73
2012-05-02,10.58,10.63,10.36,10.46,4376500,10.46
2012-05-03,10.4,10.43,10.13,10.19,3481900,10.19
2012-05-04,10.12,10.14,9.9,9.98,3227500,9.98
2012-05-07,9.93,10.07,9.8,9.88,3249400,9.88
2012-05-08,9.77,9.81,9.53,9.73,3797800,9.73
2012-05-09,9.57,9.73,9.39,9.64,3868700,9.64
2012-05-10,9.7,9.84,9.56,9.64,2600000,9.64
2012-05-11,9.47,9.77,9.21,9.59,2815100,9.59
2012-05-14,9.42,9.48,9.21,9.22,4539700,9.22
2012-05-15,9.21,9.29,9.0,9.08,5153100,9.08
2012-05-16,9.15,9.32,8.81,8.81,4004600,8.81
2012-05-17,8.84,8.91,8.59,8.6,4837300,8.6
2012-05-18,8.69,8.73,8.41,8.46,4834600,8.46
2012-05-21,8.49,8.65,8.45,8.65,2504900,8.65
2012-05-22,8.7,9.02,8.66,8.77,3940900,8.77
2012-05-23,8.62,8.94,8.5,8.9,4436000,8.9
2012-05-24,8.92,9.0,8.61,8.76,2561600,8.76
2012-05-25,8.75,8.76,8.49,8.68,1822300,8.68
2012-05-29,8.75,9.0,8.75,8.91,4695300,8.91
2012-05-30,8.76,8.8,8.5,8.53,5766600,8.53
2012-05-31,8.53,8.56,8.31,8.49,5520600,8.49
2012-06-01,8.31,8.37,7.96,8.05,7280800,8.05
2012-06-04,8.09,8.09,7.74,7.86,6844300,7.86
2012-06-05,7.86,8.25,7.81,8.06,7108400,8.06
2012-06-06,8.16,8.37,8.1,8.29,10147900,8.29
2012-06-07,8.46,8.53,8.15,8.19,4414700,8.19
2012-06-08,8.19,8.2,8.02,8.19,5362600,8.19
2012-06-11,8.29,8.36,7.85,7.87,4790400,7.87
2012-06-12,7.86,8.02,7.82,7.96,6190400,7.96
2012-06-13,8.05,8.17,7.85,7.87,7620500,7.87
2012-06-14,7.88,8.02,7.83,7.99,3751600,7.99
2012-06-15,8.03,8.03,7.92,7.97,5171200,7.97
2012-06-18,7.92,7.95,7.8,7.84,3684800,7.84
2012-06-19,7.91,8.09,7.89,8.04,6593700,8.04
2012-06-20,8.05,8.33,8.0,8.17,4288100,8.17
2012-06-21,8.17,8.22,7.79,7.83,4205000,7.83
2012-06-22,7.9,7.95,7.72,7.82,5964700,7.82
2012-06-25,7.71,7.74,7.42,7.47,3898200,7.47
2012-06-26,7.49,7.57,7.45,7.5,3061000,7.5
2012-06-27,7.5,7.61,7.5,7.55,4065600,7.55
2012-06-28,7.48,7.64,7.39,7.61,6037100,7.61
2012-06-29,7.88,8.2,7.77,8.04,11951800,8.04
2012-07-02,8.11,8.17,7.81,8.03,6044200,8.03
