Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,13.64,13.69,13.5,13.54,9830500,11.981864999999999
2012-04-09,13.35,13.57,13.26,13.48,12144900,11.928769
2012-04-10,13.51,13.65,13.3,13.39,17156400,11.849127000000001
2012-04-11,13.55,13.61,13.45,13.53,11601200,11.973016000000001
2012-04-12,13.62,13.81,13.54,13.73,11232500,12.15
2012-04-13,13.67,13.75,13.58,13.58,11402100,12.017261999999999
2012-04-16,13.65,13.69,13.5,13.57,12548100,12.008413000000001
2012-04-17,13.64,13.79,13.58,13.7,9425300,12.123453
2012-04-18,13.63,13.65,13.49,13.54,9003300,11.981864999999999
2012-04-19,13.55,13.74,13.43,13.53,12751300,11.973016000000001
2012-04-20,13.54,13.6,13.15,13.18,20141000,11.663293
2012-04-23,13.1,13.29,13.03,13.21,11401500,11.68984
2012-04-24,13.15,13.46,13.15,13.35,19505200,11.81373
2012-04-25,14.05,14.33,13.88,14.3,38094700,12.654407
2012-04-26,14.23,14.42,14.18,14.3,18044600,12.654407
2012-04-27,14.34,14.51,14.2,14.45,14469200,12.787146
2012-04-30,14.34,14.53,14.27,14.35,12266300,12.698654
2012-05-01,14.28,14.44,14.2,14.32,9344600,12.672105
2012-05-02,14.35,14.58,14.2,14.26,14508800,12.619010000000001
2012-05-03,14.29,14.35,13.91,14.0,11698400,12.38893
2012-05-04,13.94,14.01,13.66,13.67,11189700,12.096905
2012-05-07,13.57,13.72,13.57,13.6,9967700,12.034961000000001
2012-05-08,13.53,13.54,13.2,13.36,18517000,11.822579
2012-05-09,13.21,13.47,13.18,13.38,10920700,11.840278
2012-05-10,13.48,13.48,13.28,13.32,10990200,11.787182000000001
2012-05-11,13.24,13.47,13.2,13.31,6632700,11.778333
2012-05-14,13.19,13.39,13.16,13.31,10475500,11.778333
2012-05-15,13.32,13.36,13.11,13.16,14636100,11.645594000000001
2012-05-16,13.23,13.3,12.9,12.92,14279400,11.433213
2012-05-17,12.9,13.0,12.76,12.82,12476500,11.34472
2012-05-18,12.9,12.94,12.7,12.75,16321200,11.282776
2012-05-21,12.78,13.24,12.75,13.18,13317200,11.663293
2012-05-22,13.16,13.29,13.02,13.11,12792700,11.601348
2012-05-23,12.96,13.56,12.48,12.77,28914400,11.300474000000001
2012-05-24,12.88,12.91,12.71,12.81,21762000,11.335871000000001
2012-05-25,12.77,12.98,12.77,12.91,10229100,11.424363
2012-05-29,12.99,13.14,12.95,13.1,16599000,11.660239
2012-05-30,13.0,13.01,12.86,12.86,11824600,11.446615
2012-05-31,12.86,13.13,12.75,12.99,20602100,11.562327999999999
2012-06-01,12.74,13.02,12.57,12.61,23625800,11.224092
2012-06-04,12.64,12.64,12.17,12.24,20325700,10.894757
2012-06-05,12.23,12.52,12.21,12.47,15890900,11.099478999999999
2012-06-06,12.64,12.85,12.59,12.83,19071300,11.419913000000001
2012-06-07,12.98,13.09,12.88,12.9,14197800,11.482219
2012-06-08,12.82,13.15,12.82,13.13,11501000,11.686941000000001
2012-06-11,13.28,13.29,12.9,12.91,12788600,11.49112
2012-06-12,12.95,13.2,12.9,13.18,11740600,11.731446
2012-06-13,13.18,13.19,12.97,13.05,10897500,11.615734
2012-06-14,13.06,13.09,12.84,13.02,10410600,11.589031
2012-06-15,13.13,13.19,12.98,13.01,17376700,11.58013
2012-06-18,12.98,13.17,12.95,13.1,10550700,11.660239
2012-06-19,13.17,13.39,13.13,13.25,10321200,11.793752
2012-06-20,13.2,13.32,13.07,13.26,9372100,11.802653999999999
2012-06-21,13.23,13.3,12.73,12.78,15772400,11.375408
2012-06-22,12.86,12.91,12.72,12.86,13644000,11.446615
2012-06-25,12.7,12.73,12.4,12.45,10563300,11.081677
2012-06-26,12.47,12.57,12.3,12.43,11347100,11.063875
2012-06-27,12.47,12.67,12.44,12.59,8181800,11.20629
2012-06-28,12.5,12.6,12.4,12.59,9366500,11.20629
2012-06-29,12.85,12.96,12.71,12.93,12472900,11.508922
2012-07-02,12.92,12.93,12.77,12.91,8169400,11.49112
2012-07-03,12.94,13.12,12.86,13.08,4611200,11.642436
2012-07-05,13.05,13.14,13.0,13.0,8228000,11.571228999999999
2012-07-06,12.88,12.95,12.65,12.79,9070800,11.384309
2012-07-09,12.79,12.79,12.54,12.67,10744200,11.277498
2012-07-10,12.7,12.81,12.45,12.54,8913500,11.161785
2012-07-11,12.47,12.6,12.32,12.42,10995000,11.054974000000001
2012-07-12,12.28,12.37,12.1,12.33,16680800,10.974865
2012-07-13,12.34,12.39,12.23,12.32,9848200,10.965964
2012-07-16,12.31,12.31,12.17,12.25,9457600,10.903658
2012-07-17,12.3,12.37,12.14,12.34,9782000,10.983766000000001
2012-07-18,12.29,12.55,12.28,12.39,14796600,11.028271
2012-07-19,12.51,12.54,12.4,12.46,10233300,11.090578
2012-07-20,12.37,12.41,12.17,12.27,10934900,10.92146
2012-07-23,12.09,12.17,11.95,12.12,9605400,10.787945
2012-07-24,12.17,12.19,11.94,12.07,11258900,10.743441
2012-07-25,11.99,12.02,11.05,11.14,38346400,9.915653
2012-07-26,11.12,11.34,11.05,11.23,22636600,9.995761
2012-07-27,11.25,11.63,11.18,11.53,12643900,10.262789999999999
2012-07-30,11.5,11.55,11.35,11.42,9473800,10.164878999999999
2012-07-31,11.4,11.49,11.31,11.41,11245600,10.155978
2012-08-01,11.43,11.45,10.62,11.31,26498400,10.066969
2012-08-02,11.14,11.31,11.06,11.23,10391200,9.995761
2012-08-03,11.36,11.43,11.23,11.34,9517600,10.093672
2012-08-06,11.41,11.42,11.26,11.28,10397800,10.040266
2012-08-07,11.32,11.58,11.32,11.53,14378800,10.262789999999999
2012-08-08,11.48,11.73,11.48,11.61,17502200,10.333997
2012-08-09,11.56,11.64,11.43,11.59,13746100,10.316196000000001
2012-08-10,11.55,11.6,11.47,11.57,6677500,10.298392999999999
2012-08-13,11.58,11.72,11.45,11.52,11593800,10.253889
2012-08-14,11.58,11.62,11.48,11.52,12799200,10.253889
2012-08-15,11.53,11.62,11.47,11.59,11361400,10.316196000000001
2012-08-16,11.6,11.75,11.59,11.75,11858400,10.458611
2012-08-17,11.86,12.0,11.84,11.99,14798900,10.672233
2012-08-20,11.95,12.0,11.81,11.99,11822800,10.672233
2012-08-21,12.02,12.13,11.8,11.86,10853100,10.556521
2012-08-22,11.85,11.86,11.57,11.73,10452700,10.440808
2012-08-23,11.66,11.67,11.5,11.55,10385300,10.280592
2012-08-24,11.52,11.53,11.34,11.52,11073500,10.253889
2012-08-27,11.53,11.62,11.47,11.59,7423100,10.316196000000001
2012-08-28,11.55,11.75,11.54,11.68,7625600,10.396303999999999
2012-08-29,11.67,11.82,11.56,11.76,8533000,10.535160000000001
2012-08-30,11.69,11.71,11.52,11.62,8658600,10.409742
2012-08-31,11.98,12.17,11.93,11.99,16633200,10.741205
2012-09-04,12.02,12.1,11.77,11.91,9507400,10.669537
2012-09-05,11.9,11.92,11.75,11.85,6979800,10.615787
2012-09-06,11.91,12.4,11.91,12.3,17891700,11.018918
2012-09-07,12.29,12.57,12.26,12.55,12994400,11.24288
2012-09-10,12.55,12.7,12.5,12.58,13382700,11.269755
2012-09-11,12.58,12.86,12.53,12.77,12140200,11.439966
2012-09-12,12.78,12.87,12.64,12.7,8826000,11.377256
2012-09-13,12.71,12.9,12.57,12.86,9882100,11.520592
2012-09-14,12.93,13.14,12.88,13.12,14289400,11.753511999999999
2012-09-17,13.12,13.15,12.84,12.88,11933000,11.538509
2012-09-18,12.88,12.95,12.72,12.73,10748300,11.404131
2012-09-19,13.16,13.25,12.87,12.88,27779900,11.538509
2012-09-20,12.95,13.13,12.91,13.1,14683400,11.735596000000001
2012-09-21,13.19,13.37,13.17,13.22,16536100,11.843097
2012-09-24,13.09,13.38,13.03,13.25,12566100,11.869972
2012-09-25,13.28,13.31,12.92,12.93,14167500,11.583302
2012-09-26,12.91,12.99,12.68,12.86,12394000,11.520592
2012-09-27,12.95,13.4,12.89,13.3,18517800,11.914765
2012-09-28,13.21,13.26,13.02,13.15,12530200,11.780387
2012-10-01,13.23,13.33,13.06,13.09,11512700,11.726637
2012-10-02,13.12,13.25,13.09,13.24,10347900,11.861013999999999
2012-10-03,13.25,13.55,13.17,13.38,19302600,11.986432
