Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,11.01,11.23,10.99,11.02,4120600,10.654346
2012-04-09,10.77,10.84,10.54,10.68,5993000,10.325628
2012-04-10,10.73,10.73,10.24,10.39,8302000,10.04525
2012-04-11,10.55,10.72,10.39,10.64,6719100,10.286955
2012-04-12,10.7,10.96,10.56,10.96,5923500,10.596337
2012-04-13,10.89,10.91,10.59,10.59,4636900,10.238614
2012-04-16,10.68,10.76,10.41,10.41,5186500,10.064586
2012-04-17,10.52,10.7,10.38,10.57,5109200,10.219277
2012-04-18,10.39,10.76,10.39,10.75,6533200,10.393305
2012-04-19,10.79,11.54,10.75,11.17,17054900,10.799369
2012-04-20,11.34,11.39,11.07,11.24,9453600,10.867046
2012-04-23,11.06,11.47,10.87,11.27,9029100,10.896051
2012-04-24,11.26,11.43,11.11,11.19,8842500,10.818705
2012-04-25,11.34,11.63,11.28,11.6,9508300,11.215100999999999
2012-04-26,11.6,11.96,11.41,11.93,11147000,11.534152
2012-04-27,12.26,12.36,10.72,11.32,24460000,10.944391
2012-04-30,11.32,11.33,10.74,10.98,10063400,10.615673
2012-05-01,10.95,11.4,10.81,11.28,8769000,10.905719
2012-05-02,11.19,11.24,11.01,11.14,6217700,10.770365
2012-05-03,11.12,11.29,10.83,10.9,6348400,10.538327
2012-05-04,10.93,11.11,10.77,10.84,7033100,10.480319
2012-05-07,10.78,10.99,10.71,10.88,4396800,10.518991
2012-05-08,10.8,10.87,10.37,10.84,6814600,10.480319
2012-05-09,10.57,10.59,10.27,10.41,10625700,10.064586
2012-05-10,10.55,10.58,10.08,10.3,10938400,9.958236
2012-05-11,10.19,10.83,10.14,10.55,9226000,10.199941
2012-05-14,10.42,10.78,10.42,10.6,6403200,10.248282000000001
2012-05-15,10.55,10.57,10.17,10.19,6990700,9.851886
2012-05-16,10.32,11.0,10.25,10.69,11404200,10.335295
2012-05-17,10.71,10.73,10.17,10.22,5518700,9.880891
2012-05-18,10.27,10.31,10.0,10.04,5314100,9.706863
