Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,16.18,16.27,16.110001,16.200001,5539500,13.483289000000001
2012-04-09,15.85,15.99,15.8,15.9,5966200,13.233597
2012-04-10,15.88,15.9,15.48,15.57,14416400,12.958938
2012-04-11,15.8,16.040001,15.68,16.01,5576600,13.325151000000002
2012-04-12,16.059998999999998,16.43,15.95,16.4,6293600,13.649748
2012-04-13,16.389999,16.450001,16.24,16.309998999999998,5161800,13.574841000000001
2012-04-16,16.5,16.6,16.25,16.379998999999998,9154600,13.633102
2012-04-17,16.540001,16.559998999999998,16.450001,16.49,9597900,13.724654999999998
2012-04-18,16.379998999999998,16.43,16.280001000000002,16.280001000000002,5201300,13.549873000000002
2012-04-19,16.540001,16.98,16.49,16.6,12085200,13.816208999999999
2012-04-20,16.75,16.92,16.65,16.780001000000002,6209500,13.966023999999999
2012-04-23,16.52,16.59,16.26,16.370001000000002,9799200,13.62478
2012-04-24,16.42,16.790001,16.379998999999998,16.780001000000002,8101700,13.966023999999999
2012-04-25,16.950001,16.950001,16.41,16.610001,12979200,13.824532000000001
2012-04-26,16.59,16.76,16.52,16.65,11321300,13.857823999999999
2012-04-27,16.76,16.82,16.549999,16.790001,8964200,13.974347
2012-04-30,16.76,16.780001000000002,16.49,16.639999,10310000,13.8495
2012-05-01,16.639999,17.200001,16.6,17.059998999999998,9078900,14.199067000000001
2012-05-02,16.969998999999998,16.99,16.799999,16.85,5046300,14.024285
2012-05-03,16.83,17.040001,16.5,16.5,10125400,13.732979
2012-05-04,16.4,16.469998999999998,16.219998999999998,16.27,7161300,13.54155
2012-05-07,16.25,16.299999,16.110001,16.200001,7205600,13.483289000000001
2012-05-08,16.049999,16.139999,15.85,16.08,5938600,13.383412
2012-05-09,15.82,16.08,15.72,15.97,8378300,13.291859
2012-05-10,16.129998999999998,16.17,15.88,16.059998999999998,5898900,13.366765
2012-05-11,15.88,16.16,15.79,16.129998999999998,5974500,13.425026
2012-05-14,15.86,16.059998999999998,15.63,15.67,7788200,13.042167999999998
2012-05-15,15.63,15.71,15.49,15.55,4677200,12.942292
2012-05-16,15.66,15.83,15.3,15.3,5367000,12.734217
2012-05-17,15.33,15.34,14.43,14.49,12171900,12.060052
2012-05-18,14.58,14.63,14.04,14.11,12472100,11.743777
2012-05-21,14.21,14.88,14.18,14.88,11851700,12.38465
2012-05-22,14.88,15.27,14.86,15.06,12426900,12.534464
2012-05-23,14.92,15.19,14.68,15.13,7955800,12.592725
2012-05-24,15.19,15.36,14.87,15.09,5466300,12.559433
2012-05-25,15.08,15.19,14.98,15.15,4694800,12.609371000000001
2012-05-29,15.28,15.55,15.24,15.53,6088400,12.925646
2012-05-30,15.37,15.42,15.12,15.16,8384200,12.617694
2012-05-31,15.2,15.41,14.94,15.26,11749900,12.700925
2012-06-01,14.85,14.95,14.4,14.43,10942500,12.010114
2012-06-04,14.55,14.58,14.18,14.31,10134700,11.910238
2012-06-05,14.22,14.79,14.22,14.73,9935100,12.259803999999999
2012-06-06,14.86,15.47,14.84,15.38,12606000,12.800801
2012-06-07,15.6,15.66,15.19,15.22,9096500,12.667633
2012-06-08,15.14,15.36,15.1,15.34,7474000,12.767509
2012-06-11,15.55,15.6,15.03,15.04,7666700,12.517818
2012-06-12,15.11,15.41,15.02,15.4,6919000,12.817446
2012-06-13,15.29,15.32,14.87,14.97,7438000,12.459557
2012-06-14,15.04,15.31,14.92,15.25,8712500,12.692601
2012-06-15,15.36,15.6,15.23,15.58,8140200,12.967261
2012-06-18,15.36,15.86,15.34,15.74,8548100,13.100429
2012-06-19,15.85,16.08,15.74,15.9,8674800,13.233597
2012-06-20,15.9,15.96,15.65,15.84,8168300,13.18366
2012-06-21,15.92,15.97,15.38,15.46,5571000,12.867385
2012-06-22,15.56,15.62,15.22,15.42,6424700,12.834093
2012-06-25,15.21,15.21,14.88,14.98,6072200,12.467880000000001
2012-06-26,15.05,15.24,14.88,15.11,4796800,12.576079
2012-06-27,15.13,15.24,15.0,15.14,4116100,12.659697
2012-06-28,15.04,15.24,14.9,15.22,5147300,12.726591
2012-06-29,15.68,15.82,15.54,15.82,7780900,13.228295999999999
2012-07-02,15.94,15.95,15.62,15.91,6054400,13.303552
2012-07-03,15.91,16.209999,15.88,16.18,3854700,13.529320000000002
2012-07-05,16.120001000000002,16.23,15.94,16.15,4209200,13.504234
2012-07-06,15.93,16.08,15.85,16.0,3802900,13.378808
2012-07-09,15.92,16.040001,15.75,15.84,5029100,13.245020000000002
2012-07-10,15.89,15.96,15.38,15.47,5074100,12.935635000000001
2012-07-11,15.47,15.63,15.42,15.5,4946500,12.96072
2012-07-12,15.32,15.36,14.92,15.01,11372000,12.550994000000001
2012-07-13,15.05,15.24,15.04,15.23,7292900,12.734952999999999
2012-07-16,15.22,15.41,15.1,15.38,7835200,12.860379
2012-07-17,15.5,15.85,15.26,15.5,16449000,12.96072
2012-07-18,15.43,15.51,15.27,15.39,8434500,12.868741
2012-07-19,15.44,15.46,15.02,15.2,9428100,12.709867
2012-07-20,15.0,15.12,14.92,15.04,8805700,12.576080000000001
2012-07-23,14.78,14.84,14.56,14.63,6295200,12.233248
2012-07-24,14.53,14.62,14.11,14.19,10480200,11.86533
2012-07-25,14.29,14.31,13.99,14.06,12825700,11.756628
2012-07-26,14.33,14.46,14.13,14.41,11566400,12.049289
2012-07-27,14.59,14.91,14.46,14.76,9483100,12.341951
2012-07-30,14.74,14.79,14.57,14.62,5718900,12.224886
2012-07-31,14.6,14.71,14.53,14.68,7879700,12.275057
2012-08-01,14.78,14.91,14.61,14.64,7578100,12.241610000000001
2012-08-02,14.42,14.64,14.35,14.52,7275700,12.141269
2012-08-03,14.77,15.14,14.75,15.04,6118300,12.576080000000001
2012-08-06,15.11,15.33,15.0,15.19,5072400,12.701506
2012-08-07,15.23,15.3,15.08,15.19,5704000,12.701506
2012-08-08,15.09,15.22,15.03,15.14,5292400,12.659697
2012-08-09,15.1,15.33,15.05,15.21,3870200,12.718229
2012-08-10,15.2,15.31,15.12,15.28,5625600,12.776761
2012-08-13,15.22,15.33,15.14,15.27,7698400,12.7684
2012-08-14,15.33,15.39,15.12,15.18,4749600,12.693144
2012-08-15,15.18,15.41,15.14,15.39,4577400,12.868741
2012-08-16,15.34,15.66,15.3,15.63,5957400,13.069423
2012-08-17,15.6,15.6,15.48,15.56,4491100,13.010891
2012-08-20,15.56,15.6,15.34,15.51,4287500,12.969082
2012-08-21,15.51,15.64,15.35,15.42,5414800,12.893825999999999
2012-08-22,15.41,15.44,15.19,15.36,4308600,12.843655
2012-08-23,15.3,15.34,15.14,15.23,3860000,12.734952999999999
2012-08-24,15.2,15.39,15.1,15.35,2781700,12.835294000000001
2012-08-27,15.36,15.41,15.17,15.22,3399000,12.726591
2012-08-28,15.19,15.35,15.15,15.3,3922400,12.793485
2012-08-29,15.29,15.3,15.12,15.25,3547900,12.751676
2012-08-30,15.14,15.21,15.04,15.14,3410900,12.659697
2012-08-31,15.25,15.32,15.03,15.3,6590400,12.793485
2012-09-04,15.26,15.3,15.07,15.26,6349300,12.760038
2012-09-05,15.27,15.3,15.07,15.16,4434900,12.67642
2012-09-06,15.29,15.88,15.29,15.84,8399500,13.245020000000002
2012-09-07,15.9,16.32,15.72,16.299999,8296000,13.629660000000001
2012-09-10,16.26,16.57,16.190001000000002,16.469998999999998,9421700,13.77181
2012-09-11,16.43,16.58,16.389999,16.5,7665600,13.796895999999998
2012-09-12,16.57,16.790001,16.540001,16.58,7928900,13.86379
2012-09-13,16.57,17.01,16.389999,16.99,11352900,14.206622
2012-09-14,17.059998999999998,17.57,16.98,17.25,12735300,14.424026999999999
2012-09-17,17.280001000000002,17.450001,17.17,17.209999,6393200,14.390579999999998
2012-09-18,17.190001000000002,17.200001,16.940001000000002,17.16,5795600,14.348771
2012-09-19,17.16,17.200001,16.92,16.969998999999998,8848300,14.189898000000001
