Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,10.95,11.06,10.9,10.94,3719200,9.765199
2012-04-09,10.7,10.82,10.66,10.77,5172500,9.613456
2012-04-10,10.73,10.89,10.52,10.53,9420100,9.399227999999999
2012-04-11,10.69,10.75,10.58,10.71,5198000,9.559899
2012-04-12,10.95,11.08,10.84,11.0,5008700,9.818757000000002
2012-04-13,10.95,11.0,10.76,10.78,6648300,9.622380999999999
2012-04-16,10.89,10.91,10.66,10.77,5745100,9.613456
2012-04-17,10.87,11.05,10.77,10.99,6838300,9.80983
2012-04-18,10.94,10.94,10.78,10.82,3970400,9.658086
2012-04-19,10.79,10.88,10.68,10.86,6513900,9.69379
2012-04-20,10.92,10.97,10.82,10.87,3514400,9.702717
2012-04-23,10.75,10.78,10.65,10.71,3733100,9.559899
2012-04-24,10.69,10.92,10.69,10.88,6323600,9.711642999999999
2012-04-25,10.99,11.13,10.95,11.11,7137800,9.916944
2012-04-26,11.51,11.89,11.4,11.76,14439600,10.497144
2012-04-27,11.77,11.79,11.56,11.73,9605900,10.470365
2012-04-30,11.72,11.87,11.65,11.81,9440100,10.541775
2012-05-01,11.82,12.17,11.79,11.96,8354900,10.675666
2012-05-02,11.89,11.92,11.71,11.9,5794900,10.622109
2012-05-03,11.91,11.95,11.72,11.76,4891700,10.497144
2012-05-04,11.64,11.71,11.44,11.5,3846300,10.265064
2012-05-07,11.42,11.58,11.41,11.44,4808700,10.211507000000001
2012-05-08,11.31,11.35,11.09,11.24,11177200,10.032983999999999
2012-05-09,11.04,11.46,11.04,11.38,5240300,10.15795
2012-05-10,11.5,11.72,11.42,11.64,6768000,10.39003
2012-05-11,11.52,11.79,11.5,11.6,5827600,10.354326
2012-05-14,11.41,11.48,11.26,11.39,4356700,10.166877000000001
2012-05-15,11.33,11.44,11.22,11.28,4982200,10.068688
2012-05-16,11.33,11.4,11.13,11.14,4997800,9.943723
2012-05-17,11.14,11.16,10.87,10.88,5742600,9.711642999999999
2012-05-18,10.97,11.04,10.71,10.75,6381000,9.595603
2012-05-21,10.46,10.72,10.28,10.71,11572300,9.559899
2012-05-22,10.73,10.82,10.65,10.72,7023800,9.568825
2012-05-23,10.65,10.8,10.54,10.77,6300000,9.613456
2012-05-24,10.8,10.83,10.67,10.79,3930100,9.631308
2012-05-25,10.8,10.82,10.69,10.74,4165300,9.586677
2012-05-29,10.83,11.04,10.79,10.99,5366600,9.80983
2012-05-30,10.87,10.87,10.65,10.69,4444000,9.542046000000001
2012-05-31,10.64,10.67,10.36,10.39,7532000,9.274262
2012-06-01,10.21,10.27,10.0,10.07,6233500,8.988625
2012-06-04,10.07,10.15,9.88,10.02,5525900,8.943995
2012-06-05,9.97,10.36,9.96,10.36,8524200,9.247483
2012-06-06,10.36,10.72,10.26,10.69,6835400,9.59763
2012-06-07,10.85,10.93,10.64,10.66,5971900,9.570696
2012-06-08,10.65,10.85,10.46,10.84,4793900,9.732303
2012-06-11,10.89,10.94,10.63,10.64,6317600,9.55274
2012-06-12,10.68,10.85,10.56,10.8,4270200,9.69639
2012-06-13,10.75,10.76,10.34,10.35,7316600,9.292374
2012-06-14,10.41,10.44,10.21,10.34,9493200,9.283396
2012-06-15,10.3,10.51,10.26,10.5,6619200,9.427046
2012-06-18,10.45,10.47,10.29,10.4,4744400,9.337264
2012-06-19,10.45,10.66,10.45,10.61,4768900,9.525805
2012-06-20,10.6,10.79,10.51,10.77,5543200,9.669456
2012-06-21,10.78,10.79,10.37,10.39,5552000,9.328287
2012-06-22,10.44,10.47,10.29,10.32,9173800,9.265439
2012-06-25,10.18,10.26,10.03,10.11,5616400,9.076898
2012-06-26,10.12,10.35,10.11,10.3,4348600,9.247484
2012-06-27,10.35,10.55,10.28,10.5,4390200,9.427046
2012-06-28,10.39,10.48,10.28,10.45,3535700,9.382155000000001
2012-06-29,10.72,10.89,10.63,10.85,7551900,9.741280999999999
2012-07-02,10.88,11.04,10.82,11.04,5640700,9.911866
2012-07-03,11.02,11.4,11.01,11.38,4275400,10.217122
2012-07-05,11.3,11.34,11.09,11.16,4108400,10.019603
2012-07-06,11.0,11.06,10.75,10.85,4595900,9.741280999999999
2012-07-09,10.8,10.86,10.64,10.67,3838700,9.579675
2012-07-10,10.74,10.86,10.48,10.55,3764200,9.471936999999999
2012-07-11,10.55,10.57,10.34,10.42,5456800,9.355221
2012-07-12,10.36,10.58,10.32,10.51,7262100,9.436024
2012-07-13,10.53,10.71,10.53,10.7,5893000,9.606608999999999
2012-07-16,10.66,11.01,10.64,10.99,7091400,9.866975
2012-07-17,11.09,11.67,11.08,11.53,15510300,10.351794
2012-07-18,11.49,11.63,11.38,11.5,8379800,10.324860000000001
2012-07-19,11.55,12.05,11.48,11.56,10987900,10.378729
2012-07-20,11.56,11.77,11.51,11.59,6797200,10.405663
2012-07-23,11.36,11.51,11.25,11.34,7157500,10.18121
2012-07-24,11.33,11.44,11.08,11.18,6415600,10.037560000000001
2012-07-25,11.21,11.34,10.97,10.99,10084700,9.866975
2012-07-26,10.19,10.22,9.04,9.9,32270500,8.888357000000001
2012-07-27,10.02,10.15,9.83,10.12,13210500,9.085877
2012-07-30,10.09,10.1,9.67,9.85,10184900,8.843467
2012-07-31,9.85,9.97,9.78,9.87,8004600,8.861423
2012-08-01,9.84,9.89,9.64,9.78,10762100,8.780619999999999
2012-08-02,9.63,9.89,9.6,9.68,6316600,8.690839
2012-08-03,9.82,11.05,9.82,10.97,40445000,9.849019
2012-08-06,9.84,10.26,9.71,10.11,14972100,9.076898
2012-08-07,10.2,10.45,10.2,10.43,8670100,9.364199000000001
2012-08-08,10.38,10.51,10.3,10.36,6396500,9.301352
2012-08-09,10.62,10.83,10.54,10.78,9242400,9.678434
2012-08-10,10.7,10.88,10.61,10.74,5822800,9.642521
2012-08-13,10.72,10.72,10.45,10.64,4913300,9.55274
2012-08-14,10.72,10.79,10.58,10.62,4198400,9.534784
2012-08-15,10.58,10.73,10.57,10.72,3947200,9.624564999999999
2012-08-16,10.77,11.14,10.73,11.08,6798600,9.947778
2012-08-17,11.07,11.34,11.0,11.27,7336400,10.118363
2012-08-20,11.26,11.4,11.14,11.36,8577300,10.199166
2012-08-21,11.38,11.66,11.32,11.44,10831700,10.270991
2012-08-22,11.4,11.44,10.9,11.06,11608600,9.929822
2012-08-23,11.06,11.14,10.83,10.86,6949300,9.750259
2012-08-24,10.85,10.95,10.78,10.81,5605500,9.705369000000001
2012-08-27,10.86,10.94,10.72,10.76,4318900,9.660478
2012-08-28,10.75,10.79,10.62,10.65,5629300,9.561717999999999
2012-08-29,10.68,10.75,10.63,10.7,4215400,9.606608999999999
2012-08-30,10.59,10.66,10.49,10.63,5599300,9.543762
2012-08-31,10.71,10.74,10.56,10.64,3279700,9.55274
2012-09-04,10.6,10.88,10.56,10.71,4683800,9.670117999999999
2012-09-05,10.75,10.85,10.66,10.75,4679200,9.706234
2012-09-06,10.86,11.09,10.85,11.01,5087000,9.94099
2012-09-07,10.98,11.1,10.79,10.98,5411100,9.913902
2012-09-10,10.91,11.25,10.87,11.08,4179100,10.004192999999999
2012-09-11,11.01,11.25,11.01,11.21,4654100,10.121571000000001
2012-09-12,11.29,11.62,11.27,11.59,10812700,10.464675
2012-09-13,11.58,11.83,11.45,11.74,8448200,10.600111
