Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,21.440001000000002,21.52,21.08,21.25,6398100,20.34013
2012-04-09,21.02,21.129998999999998,20.82,20.91,4579700,20.014688
2012-04-10,21.139999,21.450001,20.860001,20.879998999999998,8873200,19.985972
2012-04-11,21.120001000000002,21.85,20.83,21.75,11949100,20.818721
2012-04-12,21.74,22.24,21.690001000000002,22.02,8066900,21.077161
2012-04-13,21.870001000000002,21.92,21.15,21.200001,7966600,20.292272
2012-04-16,21.309998999999998,21.459999,20.75,20.84,9233100,19.947685
2012-04-17,20.91,21.700001,20.91,21.620001000000002,6991600,20.694288
2012-04-18,21.450001,21.450001,21.040001,21.16,5187800,20.253982999999998
2012-04-19,21.1,21.33,20.74,20.93,8788400,20.033832
2012-04-20,20.719998999999998,20.940001000000002,20.469998999999998,20.6,11040600,19.717962
2012-04-23,20.35,20.52,20.08,20.17,10122500,19.306373
2012-04-24,20.190001000000002,22.5,19.530001000000002,21.629998999999998,35832200,20.703859
2012-04-25,21.709999,21.870001000000002,19.91,20.85,37444200,19.957257000000002
2012-04-26,20.860001,21.389999,20.75,21.309998999999998,10683600,20.397560000000002
2012-04-27,21.34,21.620001000000002,20.98,21.26,8133100,20.349702
2012-04-30,21.25,21.49,21.110001,21.43,5787100,20.512423000000002
2012-05-01,21.35,21.889999,21.26,21.459999,4565700,20.541137
2012-05-02,21.25,21.34,20.879998999999998,21.01,8819000,20.110406
2012-05-03,21.0,21.030001000000002,20.1,20.33,9452200,19.459522
2012-05-04,20.15,20.15,19.41,19.709999,10939300,18.866068
2012-05-07,19.709999,19.709999,19.15,19.25,9400000,18.425765
2012-05-08,19.139999,19.18,18.620001000000002,18.93,10179100,18.119467
2012-05-09,18.59,19.17,18.5,19.01,10135600,18.196041
2012-05-10,18.66,18.9,17.700001,18.07,14143700,17.296289
2012-05-11,17.950001,18.33,17.85,17.950001,7509800,17.181428
2012-05-14,17.719998999999998,17.77,17.5,17.57,5142400,16.817698
2012-05-15,18.1,18.629998999999998,17.610001,17.67,10656000,16.913416
2012-05-16,17.74,18.01,17.26,17.280001000000002,5619900,16.540116
2012-05-17,17.33,17.459999,16.969998999999998,17.0,8134600,16.272104000000002
2012-05-18,17.34,17.959999,17.27,17.530001000000002,14281900,16.779411
2012-05-21,17.41,18.1,17.41,17.98,10375600,17.210142
