Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,83.279999,83.949997,83.110001,83.730003,588700,76.425894
2012-04-09,83.0,83.540001,82.760002,83.339996,847700,76.069908
2012-04-10,83.360001,83.75,82.16999799999999,82.16999799999999,1036900,75.001974
2012-04-11,82.620003,83.220001,82.43,82.709999,1025600,75.49486800000001
2012-04-12,82.83000200000001,82.949997,82.5,82.660004,748700,75.44923399999999
2012-04-13,82.699997,83.410004,82.489998,83.099998,1047700,75.850847
2012-04-16,83.510002,84.91999799999999,83.440002,84.040001,1154800,76.708849
2012-04-17,84.379997,84.589996,83.529999,83.610001,1879700,76.31635899999999
2012-04-18,82.139999,82.949997,80.58000200000001,81.660004,4779500,74.536468
2012-04-19,82.059998,83.209999,81.790001,82.949997,1550600,75.71393
2012-04-20,83.019997,84.690002,83.019997,84.050003,1382000,76.717978
2012-04-23,83.360001,83.360001,80.949997,81.160004,2272400,74.080085
2012-04-24,81.239998,81.910004,80.629997,80.900002,1715900,73.842764
2012-04-25,81.529999,83.66999799999999,81.18,83.07,2606900,75.823465
2012-04-26,82.900002,87.269997,82.900002,86.529999,2068400,78.981634
2012-04-27,86.650002,87.08000200000001,85.660004,85.970001,1592600,78.470487
2012-04-30,85.459999,85.730003,84.82,85.559998,1431600,78.09625
2012-05-01,85.510002,86.190002,84.550003,84.57,1725500,77.192614
2012-05-02,84.440002,85.720001,84.440002,85.550003,1546000,78.087127
2012-05-03,85.639999,85.889999,84.639999,84.809998,944000,77.411675
2012-05-04,84.760002,85.400002,84.33000200000001,84.360001,822600,77.000934
2012-05-07,84.440002,84.91999799999999,83.91999799999999,84.010002,947000,76.681467
2012-05-08,83.690002,84.040001,83.139999,83.410004,1714000,76.133809
2012-05-09,82.66999799999999,83.32,82.550003,82.769997,2122400,75.54963199999999
2012-05-10,83.160004,83.639999,82.760002,83.0,1317300,75.759571
2012-05-11,82.949997,84.089996,82.730003,83.220001,1336400,75.96038100000001
2012-05-14,82.82,83.08000200000001,82.139999,82.620003,1454200,75.412723
2012-05-15,82.629997,84.209999,82.290001,83.260002,1634700,75.996892
2012-05-16,83.440002,84.75,83.379997,84.260002,1274400,76.909658
2012-05-17,84.379997,84.559998,82.510002,82.529999,1040300,75.33057
2012-05-18,83.010002,83.160004,80.83000200000001,81.0,1410600,73.93404
2012-05-21,80.93,82.16999799999999,80.559998,82.129997,912600,74.965463
2012-05-22,82.889999,82.889999,81.66999799999999,82.120003,962900,74.95634
2012-05-23,81.410004,81.720001,80.43,81.290001,1339700,74.19874200000001
2012-05-24,81.400002,82.239998,81.33000200000001,82.190002,1060800,75.02023299999999
2012-05-25,82.190002,83.279999,82.099998,83.019997,1244300,75.777824
2012-05-29,83.290001,83.650002,82.91999799999999,83.459999,1060000,76.179443
2012-05-30,83.010002,83.540001,81.629997,81.650002,1287200,74.527339
2012-05-31,81.529999,82.449997,80.540001,80.739998,1343600,73.696718
2012-06-01,80.25,80.25,77.720001,78.150002,2597400,71.332658
2012-06-04,78.239998,79.129997,77.75,79.019997,1560800,72.12676
2012-06-05,79.57,79.720001,78.989998,79.400002,1143900,72.473615
2012-06-06,80.0,81.449997,79.790001,81.440002,1109400,74.33565899999999
2012-06-07,81.879997,82.160004,80.949997,81.120003,1071000,74.04357399999999
2012-06-08,80.629997,81.449997,80.019997,81.449997,1363400,74.34478100000001
2012-06-11,81.82,82.120003,81.029999,81.129997,754700,74.052697
2012-06-12,81.25,81.970001,80.989998,81.58000200000001,975300,74.463445
2012-06-13,81.769997,83.260002,81.32,82.16999799999999,1067000,75.001974
2012-06-14,82.559998,86.209999,82.5,85.720001,1995000,78.242296
2012-06-15,85.66999799999999,86.099998,84.68,85.32,1772000,77.877188
2012-06-18,84.58000200000001,87.129997,84.58000200000001,86.769997,1954800,79.200696
2012-06-19,87.099998,87.82,86.040001,86.339996,1473000,78.80820600000001
2012-06-20,86.199997,86.5,84.75,85.660004,1807000,78.18753199999999
2012-06-21,85.41999799999999,86.860001,85.379997,85.870003,1461200,78.654676
2012-06-22,86.07,88.720001,85.940002,88.639999,5243000,81.191921
2012-06-25,87.68,87.68,85.959999,87.0,1671600,79.689724
2012-06-26,87.110001,87.519997,86.32,86.400002,1603900,79.140141
2012-06-27,86.730003,87.360001,86.260002,86.610001,1604400,79.332495
2012-06-28,86.129997,86.32,84.610001,85.650002,1349700,78.453161
2012-06-29,84.739998,84.739998,79.08000200000001,80.510002,7185800,73.745056
2012-07-02,80.300003,81.0,78.83000200000001,80.83000200000001,3033000,74.038167
2012-07-03,80.959999,82.300003,80.800003,81.730003,1587400,74.862545
2012-07-05,81.75,81.860001,80.019997,80.400002,1596000,73.64429799999999
2012-07-06,80.339996,81.0,79.790001,80.019997,1326300,73.296224
2012-07-09,79.989998,80.110001,78.449997,78.699997,1258400,72.08713900000001
2012-07-10,79.43,79.650002,72.400002,75.290001,10316600,68.96367099999999
2012-07-11,79.849998,80.730003,76.449997,78.279999,7861000,71.702431
2012-07-12,77.690002,79.730003,76.690002,77.540001,2274500,71.024613
2012-07-13,77.529999,77.699997,76.959999,77.019997,1996600,70.548302
2012-07-16,75.470001,75.470001,71.459999,73.0,7270000,66.86609
2012-07-17,73.150002,74.129997,73.010002,73.589996,2606300,67.406512
2012-07-18,73.58000200000001,74.610001,71.889999,73.010002,3049600,66.875252
2012-07-19,73.010002,75.129997,72.370003,74.93,3553900,68.63391999999999
2012-07-20,74.300003,74.690002,73.040001,74.08000200000001,2157400,67.85534399999999
2012-07-23,73.339996,73.470001,72.230003,72.940002,1184600,66.811134
2012-07-24,73.209999,73.620003,72.639999,73.110001,1943900,66.966848
2012-07-25,73.18,73.589996,72.32,72.980003,1942400,66.847774
2012-07-26,72.660004,74.83000200000001,68.089996,70.690002,6224200,64.75019300000001
2012-07-27,71.83000200000001,74.239998,70.91999799999999,72.019997,3381700,65.96843299999999
2012-07-30,72.18,72.860001,71.599998,72.599998,1778400,66.4997
2012-07-31,72.360001,73.150002,71.959999,72.959999,2146600,66.829451
2012-08-01,73.260002,73.5,72.16999799999999,72.309998,1523800,66.234066
2012-08-02,71.91999799999999,72.5,71.480003,72.08000200000001,1201300,66.02339599999999
2012-08-03,73.18,74.790001,73.010002,73.839996,1208500,67.63550500000001
2012-08-06,73.739998,74.029999,72.660004,72.690002,1429800,66.58214100000001
2012-08-07,73.019997,73.339996,72.510002,73.019997,2067400,66.884407
2012-08-08,73.959999,74.129997,72.849998,73.220001,1885300,67.06760600000001
2012-08-09,73.199997,74.32,73.019997,73.209999,1065300,67.058444
2012-08-10,73.220001,73.459999,72.440002,73.0,1368600,66.86609
2012-08-13,73.120003,73.440002,72.68,72.959999,1565800,66.829451
2012-08-14,73.239998,73.349998,72.510002,73.0,1048800,66.86609
2012-08-15,72.83000200000001,73.029999,72.360001,72.91999799999999,1627300,66.792811
2012-08-16,73.129997,73.160004,72.150002,73.08000200000001,1987400,66.93937
2012-08-17,73.309998,73.309998,72.489998,72.93,1644100,66.801973
2012-08-20,72.809998,73.010002,71.800003,72.349998,1352500,66.270706
2012-08-21,72.389999,72.489998,70.589996,70.93,1943100,64.970025
2012-08-22,70.790001,71.849998,69.760002,71.709999,2555100,65.684483
2012-08-23,71.449997,72.349998,70.980003,72.160004,1530600,66.096676
2012-08-24,71.839996,72.989998,71.800003,72.809998,1102600,66.692053
2012-08-27,72.970001,73.230003,72.190002,72.93,994500,66.801973
2012-08-28,72.720001,73.690002,72.41999799999999,73.33000200000001,1303700,67.168364
2012-08-29,73.510002,73.519997,72.309998,72.440002,936200,66.35314699999999
2012-08-30,72.139999,72.459999,71.660004,72.309998,790400,66.234066
2012-08-31,72.529999,73.41999799999999,72.190002,73.33000200000001,1223800,67.168364
2012-09-04,73.5,74.0,72.41999799999999,73.589996,1281700,67.406512
2012-09-05,73.589996,76.720001,73.57,75.949997,3614000,69.568211
2012-09-06,76.059998,76.18,74.839996,75.699997,3050200,69.339217
2012-09-07,75.720001,76.849998,75.57,75.980003,1982100,69.59569599999999
2012-09-10,76.010002,76.540001,75.690002,75.779999,1157500,69.412497
2012-09-11,75.860001,75.860001,74.510002,74.709999,1824500,68.432405
2012-09-12,74.760002,75.16999799999999,74.5,74.559998,1081000,68.295007
2012-09-13,74.690002,75.730003,74.43,75.540001,1257900,69.472196
2012-09-14,75.510002,76.110001,74.400002,75.160004,1336900,69.122722
2012-09-17,75.08000200000001,75.610001,73.800003,74.019997,1449000,68.074287
2012-09-18,74.110001,76.190002,74.110001,75.720001,2361100,69.637737
2012-09-19,76.0,77.440002,75.949997,77.050003,1383400,70.860906
2012-09-20,77.110001,77.220001,76.040001,76.529999,1392800,70.382671
2012-09-21,76.93,78.150002,76.32,77.57,2626800,71.33913299999999
2012-09-24,76.769997,76.860001,74.709999,74.769997,2025800,68.764043
2012-09-25,75.129997,76.230003,73.470001,73.639999,3195300,67.724813
2012-09-26,73.83000200000001,74.269997,73.309998,73.370003,1669600,67.476504
2012-09-27,73.57,74.790001,73.370003,74.360001,938700,68.38698000000001
2012-09-28,74.059998,74.059998,72.839996,73.279999,1778600,67.39373
2012-10-01,73.260002,74.25,72.699997,72.959999,2231300,67.099434
2012-10-02,73.25,73.989998,72.120003,72.449997,1627700,66.630399
2012-10-03,72.849998,73.300003,72.449997,72.610001,1748200,66.77755
2012-10-04,72.879997,73.360001,72.449997,72.650002,991200,66.814338
2012-10-05,73.010002,73.08000200000001,72.190002,72.599998,1790000,66.768351
2012-10-08,72.559998,72.769997,71.599998,72.160004,1148900,66.363699
2012-10-09,72.309998,72.339996,71.629997,71.699997,1156000,65.94064300000001
2012-10-10,71.519997,72.099998,70.970001,71.07,1142300,65.361251
2012-10-11,71.449997,71.629997,70.879997,71.010002,1655000,65.306072
2012-10-12,71.190002,71.190002,70.08000200000001,70.610001,1031900,64.938201
2012-10-15,70.629997,71.089996,70.349998,70.769997,1241200,65.085346
2012-10-16,70.989998,71.650002,70.82,71.370003,2070700,65.637156
2012-10-17,71.519997,72.33000200000001,71.290001,71.769997,1541300,66.00502
2012-10-18,71.690002,72.0,71.339996,71.440002,1193800,65.701533
2012-10-19,71.41999799999999,71.41999799999999,69.83000200000001,70.220001,1909000,64.57952900000001
2012-10-22,70.019997,70.099998,68.870003,69.769997,1701100,64.165671
2012-10-23,69.349998,70.099998,69.150002,69.989998,1396700,64.368001
2012-10-24,70.150002,70.449997,69.16999799999999,69.510002,1639900,63.926561
2012-10-25,65.58000200000001,65.980003,62.509997999999996,63.529999,11838400,58.426906
2012-10-26,63.689999,63.849998,61.73,62.0,5859300,57.019805000000005
2012-10-31,62.540001000000004,63.169998,61.27,61.66,4668400,56.707116000000006
2012-11-01,62.02,64.360001,61.990002000000004,63.720001,6662800,58.601645999999995
2012-11-02,63.810001,66.559998,63.810001,64.970001,4497600,59.751239
2012-11-05,65.050003,65.83000200000001,65.029999,65.620003,3115200,60.349029
2012-11-06,65.720001,66.519997,65.360001,66.269997,2252700,60.946811
2012-11-07,66.059998,66.57,65.339996,66.239998,2248300,60.919222
