Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,8.39,8.54,8.2,8.26,9723200,7.778759
2012-04-09,8.04,8.25,7.93,8.23,10659500,7.750506
2012-04-10,8.17,8.34,7.65,7.69,17818500,7.241967999999999
2012-04-11,7.9,8.46,7.9,8.39,18581600,7.901185000000001
2012-04-12,8.43,8.67,8.38,8.66,10297800,8.155453999999999
2012-04-13,8.76,8.76,8.42,8.54,14557800,8.042446
2012-04-16,8.79,8.9,8.39,8.43,14016700,7.938855
2012-04-17,8.51,8.77,8.49,8.65,8727600,8.146037
2012-04-18,8.56,8.65,8.27,8.37,10230400,7.88235
2012-04-19,8.36,8.47,8.11,8.23,8397000,7.750506
2012-04-20,8.28,8.65,8.25,8.37,11827000,7.88235
2012-04-23,8.25,8.42,8.15,8.22,9910700,7.74109
2012-04-24,8.26,8.69,8.22,8.6,14030700,8.09895
2012-04-25,8.72,8.87,8.62,8.7,9938700,8.193124000000001
2012-04-26,9.17,9.6,9.1,9.58,22813400,9.021853
2012-04-27,9.62,10.15,9.59,10.07,18860600,9.483305
2012-04-30,10.01,10.1,9.7,9.84,9821800,9.266706
2012-05-01,9.88,10.19,9.71,10.03,9279100,9.445636
2012-05-02,9.94,10.82,9.9,10.27,22262500,9.671653
2012-05-03,10.34,10.41,10.02,10.06,10431700,9.473888
2012-05-04,10.03,10.39,9.9,9.94,14061300,9.360878999999999
2012-05-07,9.92,10.07,9.85,10.0,10978400,9.417384
2012-05-08,9.9,9.94,9.41,9.61,19169000,9.050105
2012-05-09,9.48,9.94,9.22,9.86,15928100,9.28554
2012-05-10,10.01,10.09,9.64,9.68,9211800,9.116028
2012-05-11,9.57,9.96,9.36,9.84,9944500,9.266706
2012-05-14,10.03,10.05,9.54,9.56,11715300,9.003019
2012-05-15,9.56,9.87,9.33,9.73,14533400,9.163114
2012-05-16,9.86,10.06,9.47,9.49,15126800,8.937097
2012-05-17,9.52,9.62,8.65,8.68,18615300,8.174289
2012-05-18,8.71,8.75,8.21,8.49,17164100,7.995359
2012-05-21,8.49,8.89,8.26,8.86,11640000,8.343802
2012-05-22,8.9,9.29,8.81,9.08,11696500,8.550984
2012-05-23,8.99,9.35,8.85,9.3,12400000,8.758167
2012-05-24,9.33,9.44,9.14,9.4,9299400,8.85234
2012-05-25,9.38,9.5,9.27,9.33,6159200,8.786419
2012-05-29,9.45,9.62,9.27,9.52,8889700,8.96535
2012-05-30,9.34,9.38,8.94,9.19,9543500,8.654575
2012-05-31,9.22,9.48,8.81,9.36,14409200,8.814671
2012-06-01,8.99,9.01,8.23,8.26,18586200,7.778759
2012-06-04,8.23,8.29,7.63,7.7,17323000,7.251385000000001
2012-06-05,7.65,8.2,7.64,8.16,10809100,7.684585
2012-06-06,8.52,8.84,8.46,8.76,16732300,8.249628
2012-06-07,9.13,9.23,8.79,8.88,15168400,8.362637
2012-06-08,8.9,8.99,8.67,8.98,7272100,8.45681
2012-06-11,9.1,9.13,8.39,8.41,10094700,7.92002
2012-06-12,8.46,8.6,8.34,8.58,11889500,8.080115
2012-06-13,8.55,8.67,8.36,8.41,13241300,7.92002
2012-06-14,8.46,8.89,8.43,8.85,11596400,8.334385000000001
2012-06-15,8.89,9.09,8.73,9.02,12369800,8.494481
2012-06-18,8.98,9.4,8.93,9.33,12220200,8.786419
2012-06-19,9.45,9.65,9.33,9.61,12447000,9.050105
2012-06-20,9.53,9.79,9.42,9.53,12062500,8.974766
2012-06-21,9.54,9.66,9.11,9.14,11387500,8.607489
2012-06-22,9.25,9.44,9.09,9.39,7679300,8.842924
