Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,21.51,22.01,21.459999,21.65,2149200,21.65
2012-04-09,21.309998999999998,21.450001,20.84,20.889999,1861900,20.889999
2012-04-10,20.74,20.879998999999998,20.209999,20.34,2718600,20.34
2012-04-11,20.629998999999998,20.889999,20.41,20.73,1629400,20.73
2012-04-12,20.73,21.0,20.639999,20.98,1679700,20.98
2012-04-13,20.9,21.02,20.52,20.74,1722000,20.74
2012-04-16,20.870001000000002,21.15,20.73,20.889999,1799000,20.889999
2012-04-17,21.02,21.4,20.92,21.35,2550400,21.35
2012-04-18,21.18,21.389999,21.030001000000002,21.129998999999998,1318600,21.129998999999998
2012-04-19,21.18,21.26,20.610001,20.780001000000002,2054300,20.780001000000002
2012-04-20,20.860001,21.360001,20.82,21.23,1325200,21.23
2012-04-23,20.93,20.950001,20.67,20.82,1638500,20.82
2012-04-24,20.889999,21.15,20.83,21.07,1292600,21.07
2012-04-25,21.32,21.57,21.219998999999998,21.43,1378400,21.43
2012-04-26,21.41,21.66,21.23,21.620001000000002,795700,21.620001000000002
2012-04-27,21.75,22.219998999999998,21.68,22.059998999999998,1771100,22.059998999999998
2012-04-30,22.0,22.190001000000002,21.75,22.120001000000002,1808700,22.120001000000002
2012-05-01,22.1,22.450001,21.950001,22.309998999999998,1702200,22.309998999999998
2012-05-02,22.24,22.77,22.1,22.629998999999998,3452700,22.629998999999998
2012-05-03,23.17,24.059998999999998,23.0,23.5,4900000,23.5
2012-05-04,23.48,23.75,23.0,23.16,2636200,23.16
2012-05-07,23.16,23.66,23.15,23.5,2872200,23.5
2012-05-08,23.32,23.459999,22.98,23.370001000000002,2269000,23.370001000000002
2012-05-09,23.09,23.42,23.01,23.110001,1842900,23.110001
2012-05-10,23.42,23.57,22.940001000000002,23.040001,2446000,23.040001
2012-05-11,22.93,23.27,22.92,23.129998999999998,1418300,23.129998999999998
2012-05-14,22.9,23.049999,22.790001,22.9,1028700,22.9
2012-05-15,22.85,23.02,22.57,22.6,1635400,22.6
2012-05-16,22.74,23.1,22.74,22.74,2402400,22.74
2012-05-17,22.77,22.860001,22.01,22.01,1884000,22.01
2012-05-18,22.16,22.24,21.620001000000002,21.66,2386600,21.66
2012-05-21,21.84,22.17,21.67,22.129998999999998,1392900,22.129998999999998
2012-05-22,22.16,22.43,21.99,22.23,1735000,22.23
2012-05-23,22.040001,22.610001,21.780001000000002,22.6,1516400,22.6
2012-05-24,22.620001000000002,22.940001000000002,22.42,22.91,2421300,22.91
2012-05-25,22.860001,22.98,22.51,22.700001,2417100,22.700001
2012-05-29,22.879998999999998,22.99,22.440001000000002,22.530001000000002,2115700,22.530001000000002
2012-05-30,22.34,22.379998999999998,22.0,22.139999,2078000,22.139999
2012-05-31,22.309998999999998,22.76,21.950001,22.58,3292200,22.58
2012-06-01,22.129998999999998,22.200001,21.4,21.6,3164000,21.6
2012-06-04,21.67,21.75,21.15,21.370001000000002,2828200,21.370001000000002
2012-06-05,21.33,21.48,21.17,21.290001,2483400,21.290001
2012-06-06,21.540001,21.940001000000002,21.52,21.93,1977000,21.93
2012-06-07,22.23,22.540001,21.959999,22.27,2730100,22.27
2012-06-08,22.17,22.549999,21.969998999999998,22.540001,1426200,22.540001
2012-06-11,22.709999,22.82,22.16,22.18,1781600,22.18
2012-06-12,22.33,22.43,21.969998999999998,22.389999,1402000,22.389999
2012-06-13,22.309998999999998,22.65,22.129998999999998,22.290001,2026500,22.290001
2012-06-14,22.34,22.940001000000002,22.290001,22.879998999999998,2058600,22.879998999999998
2012-06-15,22.99,23.16,22.709999,22.809998999999998,3399100,22.809998999999998
2012-06-18,22.75,23.379998999999998,22.6,23.33,2554300,23.33
2012-06-19,23.459999,23.49,23.200001,23.24,2003300,23.24
2012-06-20,23.200001,23.299999,22.93,23.15,1723700,23.15
2012-06-21,23.219998999999998,23.379998999999998,22.68,22.73,3352200,22.73
2012-06-22,22.860001,22.950001,22.6,22.83,1797000,22.83
2012-06-25,22.52,22.57,22.219998999999998,22.34,1029500,22.34
2012-06-26,22.43,22.77,22.379998999999998,22.57,1726600,22.57
2012-06-27,22.65,22.98,22.57,22.91,1440600,22.91
2012-06-28,22.76,23.57,22.65,23.540001,2083000,23.540001
2012-06-29,23.82,24.07,23.6,24.07,2505800,24.07
2012-07-02,24.129998999999998,24.25,23.76,23.889999,1954100,23.889999
2012-07-03,23.85,24.040001,23.620001000000002,23.65,1445800,23.65
2012-07-05,23.629998999999998,23.950001,23.5,23.83,2171800,23.83
2012-07-06,23.549999,23.629998999999998,23.360001,23.5,1100500,23.5
2012-07-09,23.52,23.549999,23.33,23.5,1197100,23.5
2012-07-10,23.620001000000002,23.709999,22.98,23.09,1283700,23.09
2012-07-11,23.07,23.139999,22.549999,22.73,1620800,22.73
2012-07-12,22.57,23.18,22.440001000000002,23.110001,1872900,23.110001
2012-07-13,23.08,23.42,23.07,23.389999,1143300,23.389999
2012-07-16,23.34,23.4,23.120001000000002,23.280001000000002,1088300,23.280001000000002
2012-07-17,23.32,23.549999,23.23,23.51,1174200,23.51
2012-07-18,23.379998999999998,23.639999,23.33,23.5,1603900,23.5
2012-07-19,22.99,23.120001000000002,22.290001,22.709999,3225600,22.709999
2012-07-20,22.459999,22.459999,21.959999,22.01,2153900,22.01
2012-07-23,21.700001,22.389999,21.629998999999998,22.219998999999998,1583200,22.219998999999998
2012-07-24,22.24,22.469998999999998,21.940001000000002,22.049999,1745200,22.049999
2012-07-25,22.190001000000002,22.42,21.959999,22.110001,1423000,22.110001
2012-07-26,22.42,22.77,22.33,22.690001000000002,1147200,22.690001000000002
2012-07-27,22.83,23.27,22.67,23.139999,1754800,23.139999
2012-07-30,23.07,23.49,23.07,23.27,1121000,23.27
2012-07-31,23.309998999999998,23.35,22.85,22.99,1416400,22.99
2012-08-01,23.110001,23.33,22.43,22.469998999999998,2402400,22.469998999999998
2012-08-02,23.57,24.110001,23.049999,23.93,4660400,23.93
2012-08-03,24.459999,24.879998999999998,24.280001000000002,24.709999,2837000,24.709999
2012-08-06,24.870001000000002,24.93,24.35,24.48,2489500,24.48
2012-08-07,24.67,25.07,24.41,24.559998999999998,1829200,24.559998999999998
2012-08-08,24.49,24.889999,24.34,24.76,1073900,24.76
2012-08-09,24.73,24.74,24.35,24.58,1284900,24.58
2012-08-10,24.49,24.780001000000002,24.299999,24.780001000000002,1469900,24.780001000000002
2012-08-13,24.639999,24.82,24.42,24.559998999999998,1036000,24.559998999999998
2012-08-14,24.620001000000002,24.74,24.389999,24.549999,1716200,24.549999
2012-08-15,24.57,24.809998999999998,24.41,24.77,589800,24.77
2012-08-16,24.76,25.139999,24.66,25.08,1400600,25.08
2012-08-17,25.16,25.16,24.620001000000002,24.959999,1971500,24.959999
2012-08-20,24.9,24.93,24.530001000000002,24.68,972400,24.68
2012-08-21,24.799999,24.959999,24.700001,24.76,1256900,24.76
2012-08-22,24.65,24.67,24.290001,24.34,1131200,24.34
2012-08-23,24.34,24.75,24.24,24.309998999999998,1433200,24.309998999999998
2012-08-24,24.24,24.360001,24.059998999999998,24.200001,1142000,24.200001
2012-08-27,24.32,24.33,24.059998999999998,24.129998999999998,898900,24.129998999999998
2012-08-28,24.17,24.6,24.110001,24.23,1264300,24.23
2012-08-29,24.24,24.370001000000002,23.83,23.92,1251600,23.92
2012-08-30,23.77,23.83,23.559998999999998,23.620001000000002,752000,23.620001000000002
2012-08-31,23.77,24.16,23.719998999999998,24.0,2106500,24.0
2012-09-04,23.98,24.23,23.9,24.07,1344900,24.07
2012-09-05,24.059998999999998,24.17,23.92,24.02,987900,24.02
2012-09-06,24.209999,24.85,24.209999,24.780001000000002,1211400,24.780001000000002
2012-09-07,24.809998999999998,24.92,24.709999,24.75,938500,24.75
2012-09-10,24.700001,24.84,24.459999,24.459999,1208900,24.459999
2012-09-11,24.549999,24.58,24.27,24.540001,1314100,24.540001
2012-09-12,24.700001,24.93,24.530001000000002,24.870001000000002,1534000,24.870001000000002
2012-09-13,24.91,25.98,24.85,25.700001,2754100,25.700001
2012-09-14,25.67,26.07,25.65,25.82,2851400,25.82
