Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,6.44,6.51,6.32,6.43,27900000,5.903166000000001
2012-04-09,6.31,6.33,6.15,6.22,18491500,5.7103720000000004
2012-04-10,6.2,6.26,5.98,6.08,27960000,5.581843
2012-04-11,6.17,6.24,6.13,6.19,22752400,5.682831
2012-04-12,6.19,6.31,6.16,6.3,12921900,5.783818
2012-04-13,6.27,6.28,6.02,6.11,28571400,5.609385
2012-04-16,6.19,6.27,6.02,6.21,24395300,5.701192
2012-04-17,6.29,6.4,6.26,6.29,19852300,5.774637
2012-04-18,6.24,6.3,6.17,6.21,15807400,5.701192
2012-04-19,6.28,6.28,6.05,6.12,17409900,5.618566
2012-04-20,6.17,6.2,5.98,6.07,23152700,5.5726629999999995
2012-04-23,5.94,6.14,5.91,6.09,21115400,5.591024
2012-04-24,6.17,6.5,6.12,6.45,51517300,5.9215279999999995
2012-04-25,6.61,6.7,6.47,6.65,37160700,6.105141000000001
2012-04-26,6.6,6.77,6.56,6.75,21268800,6.196948
2012-04-27,6.79,6.92,6.67,6.88,22356400,6.316296
2012-04-30,6.86,6.87,6.7,6.74,20117200,6.187767
2012-05-01,6.77,6.94,6.73,6.84,18861000,6.279574
2012-05-02,6.77,6.88,6.7,6.81,14286100,6.252032
2012-05-03,6.82,6.98,6.75,6.98,34477100,6.408103
2012-05-04,6.9,6.96,6.7,6.7,32698900,6.151044000000001
2012-05-07,6.66,6.84,6.66,6.71,24332500,6.160225
2012-05-08,6.66,6.74,6.58,6.7,22575900,6.151044000000001
2012-05-09,6.58,6.65,6.45,6.56,33502000,6.022515
2012-05-10,6.71,6.76,6.6,6.67,21164700,6.123501999999999
2012-05-11,6.55,6.71,6.5,6.66,13481100,6.1143220000000005
2012-05-14,6.53,6.61,6.45,6.46,21945200,5.930708
2012-05-15,6.47,6.54,6.27,6.33,35380700,5.81136
2012-05-16,6.39,6.48,6.22,6.27,19353100,5.756276000000001
2012-05-17,6.26,6.41,6.18,6.19,22373800,5.682831
2012-05-18,6.23,6.26,6.08,6.13,16579200,5.627747
2012-05-21,6.15,6.3,6.14,6.2,20118400,5.692011
2012-05-22,6.22,6.4,6.2,6.29,22049500,5.774637
2012-05-23,6.23,6.36,6.1,6.31,21528000,5.792998000000001
2012-05-24,6.36,6.43,6.26,6.33,22893100,5.81136
2012-05-25,6.34,6.45,6.31,6.32,9416400,5.802179
2012-05-29,6.41,6.45,6.3,6.45,15164100,5.9215279999999995
2012-05-30,6.36,6.37,6.17,6.2,14664800,5.692011
2012-05-31,6.2,6.32,6.08,6.29,16986000,5.774637
2012-06-01,6.1,6.12,5.84,5.88,27797500,5.39823
2012-06-04,5.71,5.84,5.46,5.55,40786500,5.095268
2012-06-05,5.53,5.69,5.52,5.65,19725900,5.187075
2012-06-06,5.72,5.98,5.67,5.95,21829000,5.462494
2012-06-07,6.12,6.22,5.96,6.09,23843500,5.591024
2012-06-08,6.02,6.18,5.92,6.15,22293400,5.646108
2012-06-11,6.27,6.29,6.0,6.0,16793300,5.508398000000001
2012-06-12,6.01,6.2,5.93,6.19,14956900,5.682831
2012-06-13,6.14,6.29,6.09,6.19,16707100,5.692026
2012-06-14,6.31,6.37,6.23,6.33,20100500,5.8207629999999995
2012-06-15,6.39,6.45,6.29,6.45,19923300,5.931108999999999
2012-06-18,6.49,6.65,6.4,6.63,29114800,6.096629
2012-06-19,6.64,6.8,6.61,6.73,20341200,6.188584
2012-06-20,6.75,6.78,6.6,6.74,16161200,6.197779
2012-06-21,6.75,6.78,6.49,6.51,17156500,5.986283
2012-06-22,6.56,6.73,6.53,6.67,11907500,6.133411
2012-06-25,6.55,6.55,6.38,6.4,12591700,5.885132
2012-06-26,6.46,6.51,6.26,6.36,30158900,5.84835
2012-06-27,6.4,6.43,6.27,6.41,38252700,5.894327
2012-06-28,6.31,6.59,6.25,6.54,26919600,6.013869000000001
2012-06-29,6.74,6.75,6.65,6.75,13872500,6.206975
2012-07-02,6.82,6.85,6.67,6.85,16385300,6.29893
2012-07-03,6.85,6.92,6.81,6.86,7056400,6.308126000000001
2012-07-05,6.83,6.87,6.73,6.74,12849100,6.197779
2012-07-06,6.66,6.73,6.6,6.68,12283000,6.142606
2012-07-09,6.67,6.7,6.49,6.63,17789100,6.096629
2012-07-10,6.68,6.68,6.35,6.43,19003300,5.912718
2012-07-11,6.42,6.6,6.4,6.56,17732200,6.03226
2012-07-12,6.48,6.53,6.41,6.47,17688100,5.9495
2012-07-13,6.49,6.71,6.47,6.7,10887200,6.160997
2012-07-16,6.66,6.71,6.61,6.66,8572300,6.124215
2012-07-17,6.72,6.86,6.65,6.85,22593800,6.29893
2012-07-18,6.79,6.83,6.69,6.72,14706800,6.179387999999999
2012-07-19,6.76,6.77,6.58,6.65,13646200,6.1150199999999995
2012-07-20,6.5,6.67,6.38,6.41,24504700,5.894327
2012-07-23,6.28,6.42,6.22,6.39,19290200,5.875936
2012-07-24,6.71,6.8,6.53,6.65,55122200,6.1150199999999995
2012-07-25,6.72,6.95,6.67,6.91,54846100,6.354103
