Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,14.35,14.5,14.22,14.25,16685200,13.499497
2012-04-09,14.06,14.16,13.73,14.08,10998200,13.338451000000001
2012-04-10,14.03,14.12,13.74,13.75,14422000,13.025831
2012-04-11,13.93,14.01,13.84,13.88,10815900,13.148984
2012-04-12,13.92,14.29,13.79,14.24,10942200,13.490023999999998
2012-04-13,14.21,14.22,13.87,13.87,16044600,13.139510999999999
2012-04-16,14.0,14.3,13.52,13.75,19331900,13.025831
2012-04-17,13.79,14.14,13.78,13.99,13530900,13.253191000000001
2012-04-18,13.88,14.09,13.88,14.01,10122700,13.272138
2012-04-19,14.03,14.14,13.81,13.98,15173200,13.243717000000002
2012-04-20,14.02,14.16,13.94,14.02,14122100,13.281610999999998
2012-04-23,13.8,13.86,13.66,13.82,15320600,13.092144000000001
2012-04-24,13.64,13.87,13.53,13.85,13296400,13.120565
2012-04-25,13.92,14.15,13.79,14.09,15684800,13.347923999999999
2012-04-26,14.06,14.4,14.01,14.34,10498600,13.584757999999999
2012-04-27,14.36,14.5,14.15,14.31,8484200,13.556338
2012-04-30,14.3,14.32,14.06,14.28,10143100,13.527917
2012-05-01,14.28,14.38,14.12,14.14,10607700,13.395291
2012-05-02,14.12,14.12,13.69,13.72,16295200,12.997411
2012-05-03,13.71,13.83,13.57,13.7,10791300,12.978464
2012-05-04,13.67,13.67,13.49,13.53,9668000,12.817416999999999
2012-05-07,13.61,13.75,13.47,13.52,5583300,12.807945
2012-05-08,13.45,13.46,13.09,13.35,11888500,12.646898
2012-05-09,13.07,13.29,12.99,13.15,10656000,12.513672
2012-05-10,13.24,13.32,13.01,13.04,7794000,12.408994999999999
2012-05-11,12.97,13.3,12.84,13.11,8148600,12.475607
2012-05-14,13.07,13.07,12.84,12.91,7994200,12.285285
2012-05-15,12.84,12.97,12.77,12.87,9938600,12.247221000000001
2012-05-16,12.92,13.06,12.73,12.75,10602600,12.133028
2012-05-17,12.74,12.77,12.57,12.57,15883000,11.961738
2012-05-18,12.63,12.65,12.28,12.33,13716000,11.733352
2012-05-21,12.36,12.66,12.33,12.66,8152000,12.047383
2012-05-22,12.41,12.95,12.41,12.73,13940600,12.113995
2012-05-23,12.55,12.66,12.38,12.61,14662800,11.999802
2012-05-24,12.69,12.75,12.48,12.63,10920200,12.018835000000001
2012-05-25,12.65,12.81,12.61,12.8,7162800,12.180609
2012-05-29,12.87,13.01,12.8,13.0,6325500,12.37093
2012-05-30,12.91,12.92,12.52,12.52,11462300,11.914158
2012-05-31,12.49,12.6,12.12,12.46,18086600,11.857061
2012-06-01,12.13,12.22,12.02,12.1,20294200,11.514482000000001
2012-06-04,11.95,12.19,11.64,11.83,16086100,11.257547
2012-06-05,11.72,12.18,11.72,12.14,9635100,11.552546000000001
2012-06-06,12.21,12.52,12.2,12.42,10710300,11.818997
2012-06-07,12.49,12.59,12.25,12.25,11849900,11.657223
2012-06-08,12.25,12.31,12.02,12.3,9748100,11.704804
2012-06-11,12.42,12.53,12.13,12.14,8290200,11.552546000000001
2012-06-12,12.16,12.27,12.03,12.24,9422400,11.647707
2012-06-13,12.2,12.3,12.08,12.14,8997200,11.552546000000001
2012-06-14,12.12,12.41,12.12,12.36,8017900,11.7619
2012-06-15,12.42,12.7,12.35,12.67,11136600,12.056899000000001
2012-06-18,12.57,12.65,12.48,12.58,7090100,11.971254
2012-06-19,12.59,12.82,12.56,12.7,7602400,12.085447
2012-06-20,12.72,12.86,12.56,12.73,7998600,12.113995
2012-06-21,12.74,12.81,12.24,12.25,9274000,11.657223
2012-06-22,12.4,12.44,12.29,12.37,18892400,11.771416
2012-06-25,12.28,12.29,11.97,12.07,7631600,11.485933000000001
2012-06-26,12.1,12.3,12.04,12.21,7704800,11.619158
2012-06-27,12.25,12.44,12.21,12.4,7565900,11.799964
2012-06-28,12.35,12.56,12.25,12.54,7927700,11.93319
2012-06-29,12.89,13.0,12.77,12.93,10824400,12.304317999999999
2012-07-02,12.95,12.99,12.74,12.93,6083000,12.304317999999999
2012-07-03,12.89,13.06,12.84,13.03,2817000,12.399478
2012-07-05,12.97,12.98,12.78,12.82,5493800,12.199639999999999
2012-07-06,12.67,12.76,12.56,12.64,5298100,12.028350999999999
2012-07-09,12.55,12.59,12.39,12.5,5631100,11.895125
2012-07-10,12.53,12.68,12.35,12.41,5769400,11.80948
2012-07-11,12.4,12.62,12.38,12.57,6997900,11.961738
2012-07-12,12.5,12.51,12.27,12.39,6670800,11.790449
2012-07-13,12.41,12.69,12.39,12.69,5512600,12.075931
2012-07-16,12.43,12.78,12.43,12.67,7172100,12.056899000000001
2012-07-17,12.83,13.13,12.51,13.01,14158000,12.380447
2012-07-18,12.99,13.1,12.88,13.0,8231100,12.37093
2012-07-19,13.04,13.09,12.88,12.93,9934800,12.304317999999999
2012-07-20,12.82,12.88,12.47,12.49,7748500,11.885609
2012-07-23,12.28,12.29,12.03,12.22,12338700,11.628675
2012-07-24,12.22,12.26,11.95,12.14,12377200,11.552546000000001
2012-07-25,12.16,12.5,12.14,12.32,10366600,11.723835000000001
2012-07-26,12.54,12.68,12.42,12.62,7569800,12.009317999999999
2012-07-27,12.73,12.98,12.61,12.92,10053500,12.294802
2012-07-30,12.91,12.96,12.74,12.78,6187100,12.161576
2012-07-31,12.75,12.76,12.49,12.63,7813300,12.018835000000001
2012-08-01,12.64,12.7,12.32,12.45,12079900,11.847545
2012-08-02,12.34,12.51,11.99,12.22,9950100,11.628675
2012-08-03,12.44,12.85,12.36,12.8,7132800,12.180609
2012-08-06,12.91,13.09,12.87,12.88,6233200,12.256737
2012-08-07,12.91,13.33,12.89,13.2,8509300,12.561252
2012-08-08,13.16,13.16,12.94,13.02,4148600,12.446539
2012-08-09,12.98,13.18,12.95,13.01,5281900,12.436979
2012-08-10,12.98,13.04,12.78,12.88,4486400,12.312705000000001
2012-08-13,12.83,12.93,12.79,12.9,3954300,12.331823
2012-08-14,12.92,13.12,12.8,12.85,6965200,12.284025999999999
2012-08-15,12.86,13.06,12.79,13.05,4764000,12.475217
2012-08-16,13.07,13.36,13.02,13.31,7913200,12.723766
2012-08-17,13.21,13.31,13.18,13.2,6028100,12.61861
2012-08-20,13.16,13.24,12.99,13.14,7791100,12.561253
2012-08-21,13.16,13.48,13.13,13.2,7006100,12.61861
2012-08-22,13.11,13.25,13.02,13.12,6815400,12.542133999999999
2012-08-23,13.19,13.3,12.92,13.0,8938500,12.427419
2012-08-24,12.98,13.33,12.91,13.27,8681600,12.685528
2012-08-27,13.28,13.32,13.08,13.1,4303900,12.523015
2012-08-28,13.04,13.22,13.01,13.14,4878700,12.561253
2012-08-29,13.19,13.4,13.17,13.39,6737600,12.800241999999999
2012-08-30,13.27,13.49,13.2,13.42,9157100,12.828921000000001
2012-08-31,13.51,13.61,13.33,13.49,10509800,12.895837
2012-09-04,13.48,13.55,13.23,13.33,8281200,12.742884
2012-09-05,13.37,13.49,13.31,13.34,4817900,12.752444
2012-09-06,13.42,13.96,13.41,13.96,11950400,13.345135999999998
2012-09-07,13.97,14.06,13.93,14.03,9225000,13.412053
2012-09-10,14.04,14.15,13.88,13.92,6272800,13.306898
2012-09-11,13.94,14.08,13.87,13.92,7182200,13.306898
2012-09-12,13.97,14.19,13.95,14.01,10401800,13.392934
2012-09-13,14.03,14.43,13.81,14.31,14254800,13.679720999999999
2012-09-14,14.36,14.62,14.31,14.43,10079700,13.794436
2012-09-17,14.38,14.43,14.12,14.19,8473100,13.565006
2012-09-18,14.17,14.19,13.88,13.94,10339800,13.326017000000002
2012-09-19,13.74,13.89,13.48,13.65,17919900,13.048789999999999
2012-09-20,13.55,13.67,13.28,13.44,16345700,12.848039
2012-09-21,13.45,13.67,13.3,13.58,22274700,12.981873
2012-09-24,13.53,13.54,13.34,13.43,8476100,12.83848
2012-09-25,13.48,13.52,12.85,12.89,19087800,12.322264
2012-09-26,12.92,12.99,12.65,12.9,13129100,12.331823
2012-09-27,13.02,13.06,12.77,12.88,11217200,12.312705000000001
2012-09-28,12.85,12.88,12.64,12.79,13868700,12.226669000000001
2012-10-01,12.89,13.04,12.79,12.88,11473100,12.312705000000001
2012-10-02,12.91,13.0,12.78,12.9,9379800,12.331823
2012-10-03,12.9,12.93,12.66,12.76,13881100,12.197989999999999
2012-10-04,12.82,13.09,12.8,13.09,8074900,12.513455
2012-10-05,13.18,13.4,13.15,13.25,12795000,12.666408
2012-10-08,13.16,13.28,13.08,13.15,7818400,12.570812
2012-10-09,13.17,13.17,12.86,12.93,8596300,12.360503
2012-10-10,12.96,13.07,12.82,12.97,8353500,12.398741000000001
2012-10-11,13.1,13.24,13.04,13.17,7038400,12.589932000000001
2012-10-12,13.12,13.18,12.87,12.95,12807100,12.379621
2012-10-15,12.99,13.06,12.62,13.03,11596200,12.456097999999999
2012-10-16,13.04,13.34,12.97,13.32,10597900,12.733325
2012-10-17,13.33,13.63,13.28,13.62,8758700,13.020111
2012-10-18,13.62,13.76,13.5,13.64,10833400,13.039231
2012-10-19,13.61,13.66,13.2,13.32,12565600,12.733325
2012-10-22,13.31,13.41,13.18,13.35,6827300,12.762004
2012-10-23,13.2,13.29,13.03,13.22,8441400,12.63773
2012-10-24,13.27,13.44,13.22,13.32,10363400,12.733325
2012-10-25,13.41,13.53,13.35,13.51,9794200,12.914957000000001
2012-10-26,13.37,13.52,13.25,13.47,10133200,12.876719
2012-10-31,13.49,13.6,13.37,13.58,12965100,12.981873
2012-11-01,13.58,13.65,13.5,13.64,9765600,13.039231
2012-11-02,13.77,13.81,13.65,13.74,13064100,13.134826
2012-11-05,13.72,14.0,13.64,13.89,14230100,13.278220000000001
2012-11-06,13.92,13.99,13.85,13.89,7789000,13.278220000000001
2012-11-07,13.69,13.71,13.11,13.32,23243400,12.788567
2012-11-08,13.3,13.43,13.19,13.2,16768000,12.673354
2012-11-09,13.17,13.33,13.04,13.06,10920800,12.538941000000001
2012-11-12,13.07,13.11,12.88,12.95,12690600,12.433328999999999
2012-11-13,12.9,13.0,12.68,12.68,14582500,12.174101
2012-11-14,12.73,12.89,12.47,12.5,15862600,12.001283
2012-11-15,12.54,12.78,12.47,12.73,16890400,12.222106
2012-11-16,12.7,12.8,12.54,12.78,12144900,12.270111
2012-11-19,12.93,12.98,12.74,12.89,8934200,12.375722999999999
2012-11-20,12.86,12.98,12.76,12.97,6944300,12.452531
2012-11-21,12.98,13.06,12.82,13.06,4202400,12.538941000000001
2012-11-23,13.07,13.24,13.07,13.23,2162000,12.702157000000001
2012-11-26,13.13,13.23,13.07,13.15,8217300,12.625349
2012-11-27,13.16,13.16,12.96,13.03,12364200,12.510137
2012-11-28,12.97,13.18,12.92,13.14,12238200,12.615749000000001
2012-11-29,13.16,13.27,13.03,13.09,8294700,12.567743
2012-11-30,13.09,13.17,13.03,13.1,7429800,12.577345
2012-12-03,13.12,13.23,12.96,12.99,9524100,12.471733
2012-12-04,13.0,13.07,12.82,12.88,9360700,12.366122
2012-12-05,12.92,13.05,12.87,12.93,11681100,12.414127
2012-12-06,13.0,13.07,12.88,13.06,5773300,12.538941000000001
2012-12-07,13.1,13.42,13.08,13.42,7642400,12.884577
2012-12-10,13.37,13.46,13.14,13.37,7528000,12.836572
2012-12-11,13.45,13.71,13.44,13.67,9028200,13.124603
2012-12-12,13.71,13.83,13.62,13.67,10462900,13.124603
2012-12-13,13.68,13.82,13.63,13.75,8083100,13.201410999999998
2012-12-14,13.58,13.74,13.43,13.7,10440000,13.153406
2012-12-17,13.76,13.89,13.65,13.87,8355000,13.316623000000002
2012-12-18,13.88,14.23,13.78,14.21,8818300,13.643057999999998
2012-12-19,14.26,14.66,14.2,14.47,20338700,13.892685
2012-12-20,14.51,14.56,14.27,14.46,9179900,13.883084
2012-12-21,14.33,14.42,14.2,14.32,12546300,13.748669
2012-12-24,14.3,14.36,14.21,14.33,1699800,13.758270000000001
2012-12-26,14.35,14.4,14.23,14.26,3421800,13.691064
2012-12-27,14.26,14.33,14.0,14.21,6928700,13.643057999999998
2012-12-28,14.12,14.25,14.08,14.14,5923700,13.575851
2012-12-31,14.12,14.37,14.08,14.36,8220900,13.787073000000001
2013-01-02,14.67,15.08,14.62,15.08,15607600,14.478347
2013-01-03,15.05,15.2,14.86,15.06,14175900,14.459145999999999
2013-01-04,15.07,15.57,15.05,15.46,16143400,14.843187
2013-01-07,15.41,15.41,15.07,15.27,10327300,14.660767000000002
2013-01-08,15.26,15.34,15.07,15.22,9954300,14.612762
2013-01-09,15.28,15.31,15.0,15.13,7591200,14.526353
2013-01-10,15.25,15.37,15.14,15.33,7617400,14.718373000000001
2013-01-11,15.29,15.42,15.24,15.39,6940000,14.775979999999999
2013-01-14,15.39,15.41,15.25,15.27,8394700,14.660767000000002
2013-01-15,15.17,15.3,15.11,15.29,9215900,14.679969
2013-01-16,15.16,15.25,14.98,15.05,11803900,14.449545
2013-01-17,15.17,15.3,15.09,15.25,11575600,14.641565
2013-01-18,15.25,15.47,15.21,15.45,7547100,14.833585000000001
2013-01-22,15.44,15.74,15.37,15.71,8550400,15.083212
2013-01-23,15.74,15.8,15.52,15.64,8078600,15.016004999999998
2013-01-24,15.67,15.87,15.66,15.81,7063700,15.179223
2013-01-25,15.84,16.049999,15.81,16.049999,8503400,15.409645999999999
2013-01-28,16.07,16.200001,15.93,16.1,9171100,15.457653
2013-01-29,16.059998999999998,16.639999,16.01,16.469998999999998,19967900,15.812889000000002
2013-01-30,16.450001,16.620001000000002,16.370001000000002,16.51,11533500,15.851294000000001
2013-01-31,16.49,16.66,16.309998999999998,16.530001000000002,10907700,15.870497
2013-02-01,16.629998999999998,16.940001000000002,16.59,16.75,12996600,16.081719
2013-02-04,16.57,16.57,16.360001,16.389999,11414400,15.736081
2013-02-05,16.52,16.77,16.469998999999998,16.65,8622100,15.985707999999999
2013-02-06,16.49,16.809998999999998,16.450001,16.790001,11953700,16.178424
2013-02-07,16.76,17.41,16.49,17.110001,33838000,16.486767999999998
2013-02-08,17.18,17.23,16.809998999999998,16.889999,15136100,16.27478
2013-02-11,16.5,16.879998999999998,16.48,16.73,10541400,16.120607999999997
2013-02-12,16.719998999999998,16.940001000000002,16.719998999999998,16.860001,6751600,16.245874
2013-02-13,16.93,17.07,16.82,16.92,6022000,16.303688
2013-02-14,16.85,16.959999,16.74,16.92,6410400,16.303688
2013-02-15,16.959999,16.969998999999998,16.780001000000002,16.9,8270100,16.284416
2013-02-19,16.940001000000002,17.1,16.889999,17.1,7983500,16.477132
