Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,16.0,16.15,15.89,16.059998999999998,10490600,13.145349
2012-04-09,15.81,15.93,15.77,15.92,7475200,13.030757000000001
2012-04-10,15.86,15.92,15.38,15.48,14361900,12.67061
2012-04-11,15.7,15.73,15.57,15.63,8597000,12.793388
2012-04-12,15.65,15.8,15.64,15.66,11185800,12.817943
2012-04-13,15.55,15.66,15.44,15.53,9263200,12.711536
2012-04-16,15.61,15.77,15.53,15.67,5096700,12.826128
2012-04-17,15.73,16.02,15.6,15.98,7563700,13.079867
2012-04-18,15.99,16.09,15.88,15.97,6627100,13.071683
2012-04-19,15.94,15.98,15.55,15.66,8381600,12.817943
2012-04-20,15.77,15.77,15.56,15.66,5726700,12.817943
2012-04-23,15.57,15.62,15.28,15.29,10809100,12.515092999999998
2012-04-24,15.27,15.37,15.14,15.25,9586300,12.482352
2012-04-25,15.37,15.48,15.25,15.39,5163300,12.596944
2012-04-26,15.29,15.64,15.29,15.55,4968400,12.727907
2012-04-27,15.65,15.88,15.54,15.76,7032700,12.899795
2012-04-30,15.71,15.73,15.34,15.4,8759500,12.605129
2012-05-01,15.42,15.42,15.1,15.15,12871400,12.4005
2012-05-02,15.12,15.37,15.06,15.26,6813300,12.490537
2012-05-03,15.27,15.38,15.09,15.12,7399200,12.375945
2012-05-04,15.03,15.07,14.81,14.86,8896700,12.163131
2012-05-07,14.83,14.94,14.72,14.84,5605500,12.146761
2012-05-08,14.76,15.08,14.69,15.0,16354200,12.277723
2012-05-09,14.86,14.99,14.74,14.93,8502700,12.220427
2012-05-10,14.9,15.0,14.88,14.96,9028200,12.244983
2012-05-11,14.9,15.18,14.86,14.92,8028000,12.212242
2012-05-14,14.84,15.17,14.77,15.09,12561800,12.351389999999999
2012-05-15,15.08,15.24,14.66,14.75,17952200,12.073095
2012-05-16,14.21,14.25,13.46,13.91,37943700,11.385542
2012-05-17,13.87,13.91,13.14,13.22,20964600,10.820767
2012-05-18,13.29,13.35,13.02,13.07,12011700,10.697989
2012-05-21,13.09,13.38,12.94,13.35,10369300,10.927174
2012-05-22,13.44,13.65,13.33,13.61,14872500,11.139987
2012-05-23,13.57,13.7,13.46,13.65,12533900,11.172728
2012-05-24,13.67,13.69,13.42,13.49,11525500,11.041766
2012-05-25,13.48,13.58,13.37,13.41,8986900,10.976284
2012-05-29,13.58,13.7,13.48,13.6,12940700,11.131803
2012-05-30,13.52,13.55,13.27,13.37,8629000,10.943544000000001
2012-05-31,13.4,13.4,13.13,13.14,17806600,10.755286
2012-06-01,12.91,13.01,12.71,12.76,13424400,10.44425
2012-06-04,12.82,12.9,12.53,12.76,9883800,10.44425
2012-06-05,12.76,12.91,12.66,12.74,9667100,10.427878999999999
2012-06-06,12.74,13.02,12.74,12.92,17201600,10.575211999999999
2012-06-07,13.04,13.06,12.76,12.78,22095400,10.46062
2012-06-08,12.74,12.89,12.7,12.86,6117000,10.526100999999999
2012-06-11,12.94,13.01,12.54,12.57,6010900,10.288732000000001
2012-06-12,12.79,12.89,12.48,12.76,8468100,10.44425
2012-06-13,12.66,12.78,12.49,12.54,9554300,10.264177
2012-06-14,12.55,12.69,12.53,12.63,8546600,10.337843
2012-06-15,12.66,12.68,12.55,12.67,7485900,10.370584
2012-06-18,12.63,12.76,12.52,12.74,7337200,10.427878999999999
2012-06-19,12.8,13.0,12.75,12.99,9164200,10.632508
2012-06-20,12.92,13.11,12.89,13.03,11461600,10.756333999999999
2012-06-21,13.04,13.1,12.61,12.64,13671900,10.434387
2012-06-22,12.71,12.85,12.61,12.75,12599800,10.525193
2012-06-25,12.64,12.71,12.22,12.24,11879000,10.104185000000001
2012-06-26,12.26,12.67,12.26,12.6,10989500,10.401367
2012-06-27,12.61,12.72,12.57,12.66,6653500,10.450897
2012-06-28,12.6,12.66,12.45,12.59,8761300,10.393112
2012-06-29,12.84,13.06,12.8,13.05,13320300,10.772845
2012-07-02,13.1,13.13,12.9,13.02,7764400,10.74808
2012-07-03,13.0,13.26,12.98,13.17,4539300,10.871905
2012-07-05,13.11,13.3,13.07,13.17,8835200,10.871905
2012-07-06,13.07,13.25,12.91,13.22,7856100,10.913181
2012-07-09,13.13,13.2,12.98,13.04,5961200,10.764588999999999
2012-07-10,13.05,13.15,12.88,12.97,7365400,10.706804
2012-07-11,12.85,12.87,12.62,12.73,11136000,10.508682
2012-07-12,12.6,12.6,12.38,12.44,8938700,10.269286
2012-07-13,12.44,12.57,12.34,12.41,8975400,10.244521
2012-07-16,12.45,12.57,12.25,12.53,9137700,10.343581
2012-07-17,12.66,12.68,12.41,12.63,5424900,10.426132
2012-07-18,12.4,12.95,12.38,12.79,6724400,10.558213
2012-07-19,12.81,12.94,12.7,12.76,8082900,10.533448
2012-07-20,12.74,12.76,12.43,12.47,11265500,10.294052
2012-07-23,12.29,12.56,12.16,12.47,13965800,10.294052
2012-07-24,12.48,12.52,12.25,12.31,14768800,10.161971000000001
2012-07-25,12.31,12.34,12.1,12.15,10218900,10.029889
2012-07-26,12.35,12.55,12.33,12.42,11349200,10.252775999999999
2012-07-27,12.5,12.61,12.32,12.47,22833500,10.294052
2012-07-30,12.47,12.82,12.45,12.74,12301100,10.516938
2012-07-31,12.7,12.84,12.62,12.74,11831200,10.516938
2012-08-01,12.78,12.84,12.65,12.67,11752300,10.459152
2012-08-02,12.6,12.63,12.4,12.52,13308900,10.335327000000001
2012-08-03,12.69,12.99,12.66,12.93,9950600,10.673784
2012-08-06,12.97,13.18,12.93,13.08,9849700,10.797609
2012-08-07,13.16,13.34,13.14,13.3,7745100,10.979221
2012-08-08,13.2,13.49,13.17,13.33,6759200,11.003986
2012-08-09,13.35,13.46,13.25,13.31,4788900,10.987476
2012-08-10,13.25,13.41,13.21,13.41,4775800,11.070025999999999
2012-08-13,13.28,13.42,13.21,13.36,7077900,11.028751
2012-08-14,13.36,13.62,13.3,13.46,12107000,11.111302
2012-08-15,11.27,11.63,10.99,11.49,93870600,9.485056
2012-08-16,11.33,11.49,11.32,11.38,19146900,9.394250999999999
2012-08-17,11.44,11.46,11.3,11.34,19308000,9.36123
2012-08-20,11.38,11.4,11.23,11.24,15241900,9.27868
2012-08-21,11.22,11.27,11.15,11.21,15121800,9.253915
2012-08-22,11.24,11.31,11.07,11.12,11241000,9.179619
2012-08-23,11.13,11.17,10.92,10.98,12380900,9.064048
2012-08-24,10.86,11.0,10.78,10.85,14997400,8.956733
2012-08-27,10.94,10.97,10.69,10.7,12055600,8.832907
2012-08-28,10.69,10.83,10.57,10.66,14517200,8.799887
2012-08-29,10.64,10.92,10.63,10.88,11832900,8.981498
2012-08-30,10.83,10.86,10.73,10.8,8712600,8.915458000000001
2012-08-31,10.93,10.98,10.81,10.92,11010100,9.014517999999999
2012-09-04,10.93,10.96,10.68,10.86,8483900,8.964986999999999
2012-09-05,10.89,11.14,10.79,11.1,13487100,9.163109
2012-09-06,11.2,11.57,11.1,11.47,18738300,9.468546
2012-09-07,11.53,11.7,11.43,11.64,13473400,9.608882000000001
2012-09-10,11.68,11.69,11.23,11.25,17318500,9.286935
2012-09-11,11.22,11.51,11.21,11.37,16470300,9.385995
2012-09-12,11.44,11.6,11.4,11.54,11555700,9.526330999999999
2012-09-13,11.55,12.13,11.42,11.96,39489700,9.873044
2012-09-14,12.51,12.7,12.16,12.21,46912200,10.079419999999999
