Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,18.110001,18.33,18.059998999999998,18.309998999999998,4293800,13.428120000000002
2012-04-09,18.02,18.110001,17.93,17.969998999999998,3999200,13.178772
2012-04-10,17.85,18.0,17.549999,17.559998999999998,7161200,12.878088
2012-04-11,17.719998999999998,18.040001,17.6,17.969998999999998,8535700,13.178772
2012-04-12,18.0,18.360001,17.98,18.290001,6298000,13.413454000000002
2012-04-13,18.190001000000002,18.389999,18.07,18.08,6797900,13.259444
2012-04-16,18.15,18.299999,18.01,18.18,8584100,13.332782
2012-04-17,18.23,18.49,18.200001,18.41,5897700,13.501458
2012-04-18,18.24,18.33,18.120001000000002,18.16,5614600,13.318114000000001
2012-04-19,18.07,18.41,18.030001000000002,18.1,6766900,13.274111999999999
2012-04-20,18.209999,18.379998999999998,18.129998999999998,18.139999,5348300,13.303446
2012-04-23,18.0,18.120001000000002,17.559998999999998,18.07,13938100,13.25211
2012-04-24,16.440001000000002,16.690001000000002,15.95,16.01,27378800,11.741355
2012-04-25,16.139999,16.309998999999998,15.99,16.290001,11509100,11.946701
2012-04-26,16.280001000000002,16.629998999999998,16.18,16.469998999999998,9746300,12.078708
2012-04-27,16.57,16.59,16.33,16.48,5494300,12.086041
2012-04-30,16.5,16.66,16.43,16.540001,6141000,12.130044999999999
2012-05-01,16.51,16.68,16.41,16.450001,7564600,12.064041
2012-05-02,16.309998999999998,16.51,16.1,16.43,9692900,12.049373
2012-05-03,16.41,16.469998999999998,16.120001000000002,16.23,11386300,11.902697
2012-05-04,16.139999,16.139999,15.8,15.82,8786900,11.602013000000001
2012-05-07,15.72,16.0,15.69,15.94,7946800,11.690017999999998
2012-05-08,15.8,15.92,15.63,15.81,10288100,11.59468
2012-05-09,15.66,15.94,15.59,15.82,6636100,11.602013000000001
2012-05-10,15.89,15.9,15.47,15.53,6917100,11.389334
2012-05-11,15.48,15.68,15.44,15.45,7686200,11.330664
2012-05-14,14.74,15.42,14.74,15.24,11105700,11.176655
2012-05-15,15.3,15.63,15.14,15.35,8455800,11.257327
2012-05-16,15.42,15.42,15.01,15.03,8470400,11.022646
2012-05-17,15.01,15.15,14.84,14.84,6281300,10.883305
2012-05-18,14.91,15.01,14.68,14.74,8387800,10.809967
2012-05-21,14.74,15.09,14.63,15.01,6114100,11.007978999999999
2012-05-22,15.0,15.11,14.91,15.0,7166500,11.000645
2012-05-23,14.88,15.07,14.79,15.04,8961000,11.02998
2012-05-24,15.1,15.1,14.77,14.95,8837900,10.963975999999999
2012-05-25,14.94,15.15,14.92,15.08,5589200,11.059315
2012-05-29,15.23,15.34,15.03,15.16,5195800,11.117985000000001
2012-05-30,14.97,15.01,14.79,14.81,8573500,10.861303999999999
2012-05-31,14.81,14.94,14.63,14.84,7070000,10.883305
2012-06-01,14.52,14.75,14.37,14.37,9238100,10.538618
2012-06-04,14.39,14.56,14.26,14.43,7860900,10.582621000000001
2012-06-05,14.33,14.6,14.32,14.56,5452500,10.67796
2012-06-06,14.46,14.8,14.36,14.77,8411300,10.831969
2012-06-07,14.86,14.94,14.42,14.47,11647800,10.611956
2012-06-08,14.5,14.62,14.35,14.57,7275900,10.685293
2012-06-11,14.74,14.82,14.3,14.32,8636500,10.501949
2012-06-12,14.43,14.59,14.33,14.57,6723700,10.685293
2012-06-13,14.47,14.53,14.23,14.3,7791900,10.487282
2012-06-14,14.36,14.6,14.2,14.56,6827700,10.67796
2012-06-15,14.6,14.78,14.5,14.76,9310400,10.824635
2012-06-18,14.7,14.83,14.45,14.78,5390000,10.839302
2012-06-19,14.86,15.03,14.82,14.93,8290700,10.949309
2012-06-20,14.94,15.12,14.87,15.03,6980500,11.022646
2012-06-21,15.09,15.09,14.4,14.44,10652400,10.589953999999999
2012-06-22,14.52,14.62,14.41,14.45,29696300,10.597288
2012-06-25,14.36,14.4,14.0,14.03,9302300,10.28927
2012-06-26,14.06,14.15,13.95,14.07,6513900,10.318605
2012-06-27,14.16,14.27,14.08,14.17,5488000,10.391943
2012-06-28,14.16,14.16,13.71,13.89,6763200,10.186597
2012-06-29,14.11,14.61,14.11,14.61,7514000,10.714628
2012-07-02,14.56,14.57,14.32,14.5,7124900,10.633957
2012-07-03,14.57,14.81,14.52,14.8,4662500,10.85397
2012-07-05,14.72,14.8,14.49,14.72,5059200,10.7953
2012-07-06,14.58,14.6,14.02,14.12,7792100,10.355274
2012-07-09,14.15,14.16,13.86,13.92,7772800,10.208598
2012-07-10,14.02,14.13,13.75,13.82,7263600,10.135261
