Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,14.92,15.02,14.71,14.82,2814800,12.709096
2012-04-09,14.53,14.76,14.47,14.76,1959600,12.657642999999998
2012-04-10,14.68,14.84,14.27,14.3,3193700,12.263163
2012-04-11,14.5,14.65,14.43,14.64,2539900,12.554735
2012-04-12,14.67,15.09,14.58,15.07,2278400,12.923487
2012-04-13,15.05,15.18,14.83,15.04,3936400,12.89776
2012-04-16,15.0,15.0,13.51,13.89,8719000,11.911562
2012-04-17,13.97,14.25,13.94,14.02,3703500,12.023046
2012-04-18,13.98,14.02,13.77,13.81,3569900,11.842957
2012-04-19,13.78,13.91,13.62,13.74,3636400,11.782927
2012-04-20,13.8,13.88,13.71,13.75,2934600,11.791503
2012-04-23,13.6,13.61,13.36,13.54,4231500,11.611415
2012-04-24,13.6,13.72,13.49,13.54,2016700,11.611415
2012-04-25,13.69,13.8,13.4,13.77,2887800,11.808655
2012-04-26,13.77,13.81,13.58,13.7,2171000,11.748625
2012-04-27,13.85,14.07,13.71,14.03,3207900,12.031621000000001
2012-04-30,13.96,13.96,13.65,13.82,2037200,11.851532
2012-05-01,13.94,14.14,13.87,13.91,1792200,11.928713
2012-05-02,13.93,14.14,13.89,14.02,2906400,12.023046
2012-05-03,13.98,14.02,13.65,13.78,2486700,11.81723
2012-05-04,13.7,13.72,13.32,13.35,2591100,11.448478
2012-05-07,13.34,13.61,13.18,13.51,4136600,11.585688000000001
2012-05-08,13.38,13.63,13.23,13.55,4374400,11.61999
2012-05-09,13.38,13.77,13.34,13.62,2751700,11.680019999999999
2012-05-10,13.76,13.76,13.29,13.32,2902600,11.42275
2012-05-11,13.23,13.42,13.2,13.37,2543300,11.465629
2012-05-14,13.24,13.45,13.13,13.39,2581800,11.48278
2012-05-15,13.4,13.65,13.3,13.37,3346500,11.465629
2012-05-16,13.49,13.62,13.34,13.35,4416600,11.448478
2012-05-17,13.39,13.45,13.08,13.08,4827000,11.216935000000001
2012-05-18,13.18,13.21,12.85,12.96,3903900,11.114028
2012-05-21,12.99,13.1,12.82,12.87,3702700,11.036847
2012-05-22,12.93,13.17,12.75,12.87,5301800,11.036847
2012-05-23,12.8,12.92,12.43,12.82,4820200,10.993967999999999
2012-05-24,12.91,13.11,12.68,13.1,3778900,11.234086999999999
2012-05-25,13.12,13.29,12.98,12.98,2463300,11.131178
2012-05-29,13.13,13.27,13.0,13.16,2750900,11.28554
2012-05-30,13.02,13.05,12.75,12.92,2708900,11.079725
2012-05-31,13.03,13.13,12.68,13.06,3123400,11.199784
2012-06-01,12.67,12.7,12.29,12.33,5311100,10.573762
2012-06-04,12.33,12.46,12.17,12.38,4142900,10.616641
2012-06-05,12.3,12.74,12.17,12.55,3576400,10.762427
2012-06-06,12.48,12.87,12.41,12.85,3443600,11.198153
2012-06-07,13.1,13.11,12.67,12.7,2472200,11.067435000000001
2012-06-08,12.6,12.73,12.43,12.72,2477400,11.084864
2012-06-11,12.89,12.94,12.54,12.6,3449100,10.98029
2012-06-12,12.6,12.83,12.56,12.79,2492300,11.145864999999999
2012-06-13,12.79,12.81,12.57,12.59,2542300,10.971575
2012-06-14,12.66,12.93,12.5,12.85,2776300,11.198153
2012-06-15,12.94,13.04,12.85,12.97,2272100,11.302727
2012-06-18,12.93,13.01,12.8,12.9,2663600,11.241725
2012-06-19,12.95,13.14,12.92,13.1,4499600,11.416016
2012-06-20,13.13,13.25,12.9,13.05,2809000,11.372442999999999
2012-06-21,13.09,13.79,12.92,13.47,7258800,11.738453
2012-06-22,13.66,13.7,13.44,13.5,4387600,11.764596000000001
2012-06-25,13.32,13.34,13.16,13.2,3099600,11.503160000000001
2012-06-26,13.35,14.23,13.35,14.04,6912700,12.23518
2012-06-27,14.08,14.52,14.0,14.41,4659900,12.557617
2012-06-28,14.35,14.73,14.25,14.66,4013900,12.77548
2012-06-29,14.95,14.96,14.61,14.73,3069100,12.836481
2012-07-02,14.96,15.01,14.54,14.85,2801000,12.941056
2012-07-03,14.91,15.05,14.71,14.82,1898700,12.914912
2012-07-05,14.77,14.81,14.45,14.74,3084100,12.845196000000001
2012-07-06,14.55,14.78,14.54,14.73,2434700,12.836481
2012-07-09,14.66,14.68,14.47,14.66,2578300,12.77548
2012-07-10,14.71,14.76,14.35,14.54,3739000,12.670906
2012-07-11,14.56,14.56,14.09,14.29,4779300,12.453043
2012-07-12,14.21,14.37,14.11,14.24,3228800,12.409469999999999
2012-07-13,14.37,14.61,14.29,14.31,3290700,12.470472000000001
2012-07-16,14.47,15.4,13.91,14.69,9910300,12.801623
2012-07-17,14.78,14.87,14.51,14.65,4308300,12.766765
2012-07-18,14.65,14.83,14.53,14.78,3174900,12.880054
2012-07-19,14.87,15.25,14.76,14.86,3660100,12.94977
2012-07-20,14.75,14.92,14.65,14.81,2614300,12.906198
2012-07-23,14.59,14.65,14.19,14.3,3386000,12.461757
2012-07-24,14.34,14.35,13.91,14.06,3115100,12.252609
2012-07-25,14.18,14.31,14.02,14.04,3177200,12.23518
2012-07-26,14.3,14.36,13.99,14.15,3933400,12.331039
2012-07-27,14.25,14.52,14.09,14.38,4372900,12.531473
2012-07-30,14.49,14.53,14.09,14.16,3319300,12.339754
2012-07-31,14.18,14.2,14.04,14.11,2778600,12.296180999999999
2012-08-01,14.18,14.25,14.07,14.16,8795600,12.339754
2012-08-02,14.05,14.17,13.76,14.0,4872200,12.200322
2012-08-03,14.21,14.67,14.19,14.46,3335400,12.601189999999999
2012-08-06,14.5,14.67,14.46,14.59,2222000,12.714478
2012-08-07,14.69,14.82,14.62,14.73,3276700,12.836481
2012-08-08,14.71,15.02,14.7,14.97,3025900,13.045630000000001
2012-08-09,15.01,15.23,14.77,15.08,3730500,13.141489000000002
2012-08-10,14.99,15.1,14.92,15.08,2280900,13.141489000000002
2012-08-13,15.04,15.27,14.97,15.26,1990000,13.298351
2012-08-14,15.32,15.45,15.27,15.35,2975200,13.376782
2012-08-15,15.29,15.35,15.02,15.1,2445000,13.158919000000001
2012-08-16,15.14,15.59,15.11,15.52,2862700,13.524929
2012-08-17,15.65,15.71,15.57,15.68,2343800,13.664360999999998
2012-08-20,15.63,15.8,15.54,15.58,3271700,13.577214999999999
2012-08-21,15.58,15.77,15.49,15.49,2814700,13.498783999999999
2012-08-22,15.42,15.56,15.17,15.32,4084900,13.350638
2012-08-23,15.33,15.41,15.23,15.36,1941400,13.385496
2012-08-24,15.26,15.48,15.17,15.41,1775500,13.429068
2012-08-27,15.41,15.47,15.05,15.07,2301500,13.132775
2012-08-28,15.05,15.15,14.99,15.03,1960100,13.097917
2012-08-29,15.08,15.18,15.02,15.18,2105300,13.228635
2012-08-30,15.1,15.23,15.04,15.14,8996800,13.193776999999999
2012-08-31,15.24,15.31,15.05,15.26,6483400,13.298351
2012-09-04,15.18,15.71,15.14,15.69,7245400,13.673075
2012-09-05,15.55,15.71,15.25,15.56,3085400,13.734864000000002
2012-09-06,15.67,16.1,15.59,16.059998999999998,3210800,14.176215
2012-09-07,16.08,16.200001,15.93,16.059998999999998,2758300,14.176215
2012-09-10,16.049999,16.33,16.049999,16.299999,4556600,14.388063
2012-09-11,16.35,17.35,16.299999,17.0,10666700,15.005956
2012-09-12,17.1,17.15,16.85,17.129998999999998,4768300,15.120707000000001
2012-09-13,17.18,17.610001,16.99,17.459999,4523700,15.411999
2012-09-14,17.5,17.870001000000002,17.4,17.58,4081100,15.517923999999999
2012-09-17,17.559998999999998,17.85,17.370001000000002,17.719998999999998,8940100,15.641502
2012-09-18,17.77,18.049999,17.34,17.530001000000002,4510100,15.47379
