Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,80.889999,83.82,80.809998,83.66999799999999,2672200,38.674865000000004
2012-04-09,82.339996,83.540001,82.110001,83.269997,1925600,38.489971999999995
2012-04-10,83.089996,84.0,81.559998,81.690002,3524000,37.75965
2012-04-11,82.809998,84.480003,82.400002,84.010002,3122000,38.832026
2012-04-12,84.059998,85.75,83.760002,85.68,2285600,39.603951
2012-04-13,85.660004,85.839996,84.970001,85.309998,2071600,39.432924
2012-04-16,85.510002,85.889999,84.269997,84.959999,2416600,39.271144
2012-04-17,85.489998,86.0,85.199997,85.720001,1822600,39.622440000000005
2012-04-18,85.33000200000001,85.480003,84.690002,85.019997,2063800,39.298876
2012-04-19,85.150002,85.160004,83.66999799999999,83.959999,2298600,38.808913000000004
2012-04-20,84.510002,85.519997,84.08000200000001,84.660004,3455000,39.132476000000004
2012-04-23,83.849998,84.0,83.010002,83.66999799999999,2438000,38.674865000000004
2012-04-24,83.879997,84.040001,81.720001,82.050003,4172000,37.926053
2012-04-25,82.57,83.300003,82.32,83.040001,2408000,38.383661
2012-04-26,83.08000200000001,84.400002,82.41999799999999,84.08000200000001,2445000,38.864382
2012-04-27,84.110001,84.190002,82.610001,83.489998,3148800,38.591664
2012-04-30,83.209999,83.480003,82.510002,83.07,2687600,38.397527000000004
2012-05-01,83.540001,85.32,83.260002,84.110001,3771400,38.878248
2012-05-02,83.989998,84.440002,83.010002,84.309998,4676400,38.970693
2012-05-03,87.489998,91.059998,87.489998,90.690002,14905600,41.919729
2012-05-04,89.720001,91.5,89.709999,89.959999,5308800,41.582299
2012-05-07,89.760002,90.279999,89.25,89.809998,3894200,41.512963
2012-05-08,89.41999799999999,89.800003,86.989998,88.33000200000001,5149800,40.828863
2012-05-09,87.370003,89.389999,87.260002,88.099998,3767800,40.722549
2012-05-10,88.489998,88.989998,87.220001,88.160004,2833800,40.750285
2012-05-11,87.959999,89.519997,87.559998,88.540001,2624000,40.925931
2012-05-14,87.339996,88.129997,86.690002,87.449997,3000000,40.422098
2012-05-15,87.199997,88.660004,87.019997,87.230003,3004400,40.320409999999995
2012-05-16,87.260002,87.910004,86.349998,86.470001,2559600,39.969113
2012-05-17,86.489998,86.83000200000001,83.760002,83.959999,3507000,38.808913000000004
2012-05-18,84.290001,84.57,82.980003,83.050003,3588000,38.388284000000006
2012-05-21,83.349998,85.849998,82.690002,85.629997,3785800,39.580838
2012-05-22,85.57,87.639999,85.230003,86.889999,4477800,40.16325
2012-05-23,85.809998,86.949997,84.83000200000001,86.379997,4033000,39.927510999999996
2012-05-24,86.230003,86.41999799999999,85.41999799999999,86.41999799999999,2470200,39.946
2012-05-25,86.66999799999999,87.66999799999999,86.389999,87.269997,2152800,40.338896000000005
2012-05-29,87.58000200000001,89.370003,87.279999,89.349998,3418000,41.300337
2012-05-30,88.900002,89.68,87.809998,89.510002,4130600,41.374296
2012-05-31,89.099998,89.589996,88.110001,88.610001,8979600,40.958287
2012-06-01,87.910004,88.480003,85.589996,85.68,5245000,39.603951
2012-06-04,85.889999,86.66999799999999,84.510002,86.550003,3429000,40.006093
2012-06-05,86.519997,88.709999,86.18,88.389999,4216800,40.856596
2012-06-06,88.550003,90.980003,88.410004,90.83000200000001,3683000,41.984441
2012-06-07,91.059998,91.220001,89.540001,90.269997,3058600,41.725589
2012-06-08,89.690002,91.059998,89.290001,90.93,2801200,42.030663
2012-06-11,91.5,92.0,89.629997,89.760002,3031000,41.489854
2012-06-12,90.279999,91.400002,89.639999,91.309998,2305200,42.206309999999995
