Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,7.85,7.92,7.83,7.87,9832600,4.561679
2012-04-09,7.75,7.87,7.72,7.8,7253100,4.521105
2012-04-10,7.77,7.83,7.71,7.73,14617700,4.480531
2012-04-11,7.81,7.86,7.73,7.85,8749900,4.550087
2012-04-12,7.87,7.99,7.81,7.96,11355500,4.613846
2012-04-13,7.92,7.93,7.84,7.84,12479500,4.544291
2012-04-16,7.88,7.94,7.84,7.89,8183400,4.573272
2012-04-17,7.93,8.01,7.9,8.0,6666200,4.6370309999999995
2012-04-18,7.94,8.01,7.91,7.96,8711100,4.613846
2012-04-19,7.97,7.99,7.85,7.91,11463100,4.584864
2012-04-20,7.94,7.99,7.84,7.87,13671200,4.561679
2012-04-23,7.97,8.15,7.87,7.88,23370700,4.567476
2012-04-24,8.08,8.08,7.91,7.92,14015200,4.590661
2012-04-25,7.99,8.01,7.87,7.96,11550800,4.613846
2012-04-26,7.97,7.99,7.84,7.91,16415700,4.584864
2012-04-27,7.91,7.92,7.75,7.83,24312200,4.538494
2012-04-30,7.8,7.86,7.76,7.78,9760800,4.509513
2012-05-01,7.8,8.01,7.76,7.93,15114100,4.596457
2012-05-02,7.93,7.93,7.76,7.83,9561000,4.538494
2012-05-03,7.83,7.85,7.67,7.71,9235400,4.468939
2012-05-04,7.67,7.68,7.51,7.62,12193400,4.416772
2012-05-07,7.6,7.77,7.55,7.73,17842900,4.480531
2012-05-08,7.64,7.71,7.6,7.68,11942800,4.45155
2012-05-09,7.58,7.7,7.55,7.64,12327500,4.428365
2012-05-10,7.69,7.69,7.59,7.64,11445400,4.428365
2012-05-11,7.58,7.73,7.56,7.63,8240500,4.422568
2012-05-14,7.57,7.73,7.56,7.69,12072600,4.457346
2012-05-15,7.66,7.7,7.38,7.4,15002600,4.289254
2012-05-16,7.42,7.52,7.14,7.19,19264400,4.167532
2012-05-17,7.22,7.39,7.15,7.27,20963600,4.213902
2012-05-18,7.3,7.32,7.11,7.15,16370700,4.144347
2012-05-21,7.17,7.28,7.13,7.2,12525500,4.173328
2012-05-22,7.23,7.25,7.13,7.19,13800900,4.167532
2012-05-23,7.15,7.22,7.02,7.19,9670400,4.167532
2012-05-24,7.17,7.23,6.93,6.94,23975700,4.0226239999999995
2012-05-25,6.93,7.09,6.91,7.07,11735500,4.097976
2012-05-29,7.14,7.35,7.13,7.31,14262200,4.237087
2012-05-30,7.26,7.32,7.16,7.24,14585200,4.1965129999999995
2012-05-31,7.23,7.28,7.1,7.22,15844300,4.18492
2012-06-01,7.06,7.25,7.06,7.12,14836600,4.126958
2012-06-04,7.12,7.18,7.02,7.09,10344000,4.1095690000000005
2012-06-05,7.04,7.23,7.04,7.19,11048700,4.167532
2012-06-06,7.2,7.45,7.18,7.44,9065200,4.312439
2012-06-07,7.53,7.61,7.44,7.5,17040400,4.347217
2012-06-08,7.45,7.74,7.45,7.71,15738900,4.468939
2012-06-11,7.76,7.77,7.5,7.52,14308300,4.358809
2012-06-12,7.53,7.63,7.48,7.57,14794300,4.387791
2012-06-13,7.52,7.72,7.5,7.63,12737400,4.422568
2012-06-14,7.63,7.74,7.58,7.62,11478300,4.416772
2012-06-15,7.64,7.85,7.63,7.79,17211500,4.515308999999999
2012-06-18,7.73,7.8,7.68,7.71,8636200,4.468939
2012-06-19,7.75,7.85,7.7,7.81,8361000,4.526902
